Id,Latitud,Longitud,Año,Mes,Día,Hora,Minuto,Segundo,Velocidad (km/h),is_microparada
1,-12.044067,-76.938217,2025,9,29,22,20,3,0,1
2,-12.043467,-76.936767,2025,9,29,22,21,3,10,0
3,-12.043083,-76.935967,2025,9,29,22,22,3,6,0
4,-12.04065,-76.933933,2025,9,29,22,23,3,21,0
5,-12.0398,-76.933167,2025,9,29,22,24,3,7,0
6,-12.039667,-76.933017,2025,9,29,22,24,37,2,1
7,-12.03935,-76.932783,2025,9,29,22,25,37,3,1
8,-12.039233,-76.932683,2025,9,29,22,26,19,1,1
9,-12.037883,-76.93155,2025,9,29,22,27,19,12,0
10,-12.036617,-76.930467,2025,9,29,22,28,19,11,0
11,-12.032617,-76.927067,2025,9,29,22,29,19,35,0
12,-12.029817,-76.92455,2025,9,29,22,30,19,25,0
13,-12.029083,-76.92395,2025,9,29,22,31,19,6,0
14,-12.029067,-76.923933,2025,9,29,22,31,25,1,1
15,-12.029033,-76.9239,2025,9,29,22,32,25,0,1
16,-12.028933,-76.923817,2025,9,29,22,32,37,4,1
17,-12.028483,-76.923417,2025,9,29,22,33,37,4,1
18,-12.027917,-76.922717,2025,9,29,22,34,37,6,0
19,-12.027683,-76.9224,2025,9,29,22,35,37,3,1
20,-12.027667,-76.922383,2025,9,29,22,36,37,0,1
21,-12.0276,-76.92225,2025,9,29,22,37,2,2,1
22,-12.02735,-76.921967,2025,9,29,22,38,2,2,1
23,-12.027083,-76.92155,2025,9,29,22,39,2,3,1
24,-12.0267,-76.921017,2025,9,29,22,40,2,4,1
25,-12.026317,-76.920267,2025,9,29,22,41,2,6,0
26,-12.0255,-76.918333,2025,9,29,22,42,2,14,0
27,-12.025117,-76.917233,2025,9,29,22,42,21,24,0
28,-12.025083,-76.9172,2025,9,29,22,42,23,9,0
29,-12.02435,-76.91485,2025,9,29,22,43,23,16,0
30,-12.023983,-76.913717,2025,9,29,22,44,23,8,0
31,-12.023933,-76.9136,2025,9,29,22,45,2,1,1
32,-12.023033,-76.910783,2025,9,29,22,46,2,19,0
33,-12.022683,-76.909733,2025,9,29,22,47,2,7,0
34,-12.0219,-76.907317,2025,9,29,22,48,2,17,0
35,-12.021867,-76.9072,2025,9,29,22,48,8,7,0
36,-12.020217,-76.902217,2025,9,29,22,49,8,34,0
37,-12.019333,-76.899383,2025,9,29,22,50,8,19,0
38,-12.018033,-76.895333,2025,9,29,22,51,8,28,0
39,-12.0166,-76.89095,2025,9,29,22,52,8,30,0
40,-12.015117,-76.886567,2025,9,29,22,53,8,30,0
41,-12.014867,-76.8858,2025,9,29,22,54,8,5,1
42,-12.014833,-76.885717,2025,9,29,22,54,14,6,0
43,-12.014683,-76.8852,2025,9,29,22,55,14,4,1
44,-12.013867,-76.8828,2025,9,29,22,56,15,16,0
45,-12.01325,-76.881033,2025,9,29,22,57,15,12,0
46,-12.0119,-76.87695,2025,9,29,22,58,15,28,0
47,-12.0119,-76.876933,2025,9,29,22,58,18,3,1
48,-12.010517,-76.872183,2025,9,29,22,59,18,32,0
49,-12.01,-76.869367,2025,9,29,23,0,18,19,0
50,-12.009333,-76.86565,2025,9,29,23,1,18,25,0
51,-12.008867,-76.8633,2025,9,29,23,2,18,16,0
52,-12.007483,-76.855717,2025,9,29,23,3,18,50,0
53,-12.0071,-76.85365,2025,9,29,23,4,18,14,0
54,-12.00675,-76.85185,2025,9,29,23,5,18,12,0
55,-12.005883,-76.847167,2025,9,29,23,6,18,31,0
56,-12.005183,-76.8452,2025,9,29,23,7,18,14,0
57,-12.005083,-76.845,2025,9,29,23,7,51,3,1
58,-12.0049,-76.844617,2025,9,29,23,8,51,3,1
59,-12.003,-76.842267,2025,9,29,23,9,51,20,0
60,-12.000317,-76.839083,2025,9,29,23,10,51,27,0
61,-12.000217,-76.83895,2025,9,29,23,11,42,1,1
62,-11.996917,-76.835067,2025,9,29,23,12,42,33,0
63,-11.993717,-76.828717,2025,9,29,23,13,42,47,0
64,-11.99205,-76.824717,2025,9,29,23,14,42,28,0
65,-11.990483,-76.821,2025,9,29,23,15,42,26,0
66,-11.989783,-76.81935,2025,9,29,23,16,42,12,0
67,-11.98965,-76.819017,2025,9,29,23,17,42,2,1
68,-11.98965,-76.818967,2025,9,29,23,18,42,0,1
69,-11.9895,-76.818617,2025,9,29,23,19,34,3,1
70,-11.988283,-76.81555,2025,9,29,23,20,33,22,0
71,-11.987183,-76.812883,2025,9,29,23,21,33,19,0
72,-11.9857,-76.809283,2025,9,29,23,22,33,26,0
73,-11.9836,-76.803433,2025,9,29,23,23,33,41,0
74,-11.98215,-76.797383,2025,9,29,23,24,33,41,0
75,-11.981617,-76.795117,2025,9,29,23,25,33,15,0
76,-11.98075,-76.791483,2025,9,29,23,26,33,24,0
77,-11.97995,-76.78805,2025,9,29,23,27,33,23,0
78,-11.979133,-76.7846,2025,9,29,23,28,33,23,0
79,-11.979117,-76.784583,2025,9,29,23,28,36,2,1
80,-11.978233,-76.78045,2025,9,29,23,29,36,28,0
81,-11.97755,-76.777117,2025,9,29,23,30,36,22,0
82,-11.9767,-76.77345,2025,9,29,23,31,36,25,0
83,-11.976133,-76.771567,2025,9,29,23,32,36,13,0
84,-11.975,-76.767983,2025,9,29,23,33,36,25,0
85,-11.974383,-76.765183,2025,9,29,23,34,36,19,0
86,-11.973883,-76.7608,2025,9,29,23,35,36,29,0
87,-11.972617,-76.75745,2025,9,29,23,36,36,23,0
88,-11.97145,-76.754517,2025,9,29,23,37,36,21,0
89,-11.969833,-76.750533,2025,9,29,23,38,36,28,0
90,-11.968717,-76.7474,2025,9,29,23,39,36,22,0
91,-11.968467,-76.745983,2025,9,29,23,40,36,9,0
92,-11.967917,-76.7456,2025,9,29,23,40,45,30,0
93,-11.965167,-76.74275,2025,9,29,23,41,45,26,0
94,-11.96215,-76.738517,2025,9,29,23,42,45,34,0
95,-11.958083,-76.7341,2025,9,29,23,43,45,40,0
96,-11.953883,-76.729567,2025,9,29,23,44,45,41,0
97,-11.951767,-76.726933,2025,9,29,23,45,45,22,0
98,-11.949833,-76.722717,2025,9,29,23,46,45,30,0
99,-11.947967,-76.71795,2025,9,29,23,47,45,33,0
100,-11.946483,-76.712183,2025,9,29,23,48,45,39,0
101,-11.945767,-76.7101,2025,9,29,23,49,6,41,0
102,-11.94515,-76.709717,2025,9,29,23,49,17,26,0
103,-11.944433,-76.70945,2025,9,29,23,50,16,5,1
104,-11.943783,-76.708567,2025,9,29,23,50,47,14,0
105,-11.94285,-76.70485,2025,9,29,23,51,47,25,0
106,-11.941583,-76.701567,2025,9,29,23,52,47,23,0
107,-11.94105,-76.700517,2025,9,29,23,53,47,8,0
108,-11.9396,-76.6984,2025,9,29,23,54,42,18,0
109,-11.9387,-76.697667,2025,9,29,23,55,42,8,0
110,-11.937917,-76.69705,2025,9,29,23,56,42,7,0
111,-11.9378,-76.696967,2025,9,29,23,57,42,1,1
112,-11.937717,-76.696883,2025,9,29,23,57,51,5,1
113,-11.937217,-76.696483,2025,9,29,23,58,51,4,1
114,-11.937217,-76.696483,2025,9,29,23,59,51,0,1
