Id,Fecha y hora,posición,Distancia (m),Tiempo de registro (s),Velocidad (km/h)
1,29/09/2025 22:16:44,S12 03.346 W77 03.384,0,0:00:00,0
2,29/09/2025 22:17:43,S12 03.330 W77 03.449,121,0:00:59,7
3,29/09/2025 22:18:43,S12 03.273 W77 03.634,352,0:01:00,21
4,29/09/2025 22:19:43,S12 03.258 W77 03.676,81,0:01:00,5
5,29/09/2025 22:20:43,S12 03.209 W77 03.809,257,0:01:00,15
6,29/09/2025 22:21:12,S12 03.205 W77 03.813,11,0:00:29,1
7,29/09/2025 22:22:12,S12 03.161 W77 03.948,258,0:01:00,15
8,29/09/2025 22:23:12,S12 03.147 W77 03.992,84,0:01:00,5
9,29/09/2025 22:23:23,S12 03.149 W77 04.001,16,0:00:11,5
10,29/09/2025 22:23:27,S12 03.153 W77 04.010,17,0:00:04,16
11,29/09/2025 22:23:30,S12 03.161 W77 04.013,16,0:00:03,20
12,29/09/2025 22:23:51,S12 03.256 W77 04.004,177,0:00:21,30
13,29/09/2025 22:23:53,S12 03.259 W77 04.007,8,0:00:02,14
14,29/09/2025 22:24:07,S12 03.263 W77 04.051,81,0:00:14,21
15,29/09/2025 22:25:07,S12 03.271 W77 04.138,157,0:01:00,9
16,29/09/2025 22:25:17,S12 03.271 W77 04.138,1,0:00:10,0
17,29/09/2025 22:26:17,S12 03.282 W77 04.234,175,0:01:00,10
18,29/09/2025 22:26:57,S12 03.280 W77 04.244,19,0:00:40,2
19,29/09/2025 22:26:59,S12 03.276 W77 04.247,9,0:00:02,16
20,29/09/2025 22:27:59,S12 03.181 W77 04.255,177,0:01:00,11
21,29/09/2025 22:28:59,S12 02.980 W77 04.277,375,0:01:00,23
22,29/09/2025 22:29:21,S12 02.979 W77 04.277,1,0:00:22,0
23,29/09/2025 22:29:32,S12 02.956 W77 04.283,44,0:00:11,14
24,29/09/2025 22:29:36,S12 02.952 W77 04.289,13,0:00:04,11
25,29/09/2025 22:30:36,S12 02.963 W77 04.385,175,0:01:00,11
26,29/09/2025 22:31:36,S12 02.985 W77 04.643,470,0:01:00,28
27,29/09/2025 22:32:08,S12 02.988 W77 04.656,24,0:00:32,3
28,29/09/2025 22:32:58,S12 03.001 W77 04.670,35,0:00:50,3
29,29/09/2025 22:33:00,S12 03.004 W77 04.666,9,0:00:02,17
30,29/09/2025 22:33:03,S12 03.008 W77 04.658,16,0:00:03,19
31,29/09/2025 22:34:03,S12 03.006 W77 04.645,23,0:01:00,1
32,29/09/2025 22:35:03,S12 03.006 W77 04.645,0,0:01:00,0
33,29/09/2025 22:36:03,S12 03.006 W77 04.645,0,0:01:00,0
34,29/09/2025 22:37:03,S12 03.006 W77 04.645,0,0:01:00,0
35,29/09/2025 22:38:03,S12 03.006 W77 04.645,0,0:01:00,0
36,29/09/2025 22:38:25,S12 03.008 W77 04.633,22,0:00:22,4
37,29/09/2025 22:39:25,S12 02.985 W77 04.443,348,0:01:00,21
38,29/09/2025 22:40:25,S12 02.971 W77 04.314,235,0:01:00,14
39,29/09/2025 22:40:38,S12 02.965 W77 04.285,53,0:00:13,15
40,29/09/2025 22:40:40,S12 02.967 W77 04.282,7,0:00:02,13
41,29/09/2025 22:40:43,S12 02.973 W77 04.280,11,0:00:03,13
42,29/09/2025 22:41:43,S12 03.167 W77 04.262,361,0:01:00,22
43,29/09/2025 22:42:11,S12 03.190 W77 04.259,44,0:00:28,6
44,29/09/2025 22:42:41,S12 03.286 W77 04.247,178,0:00:30,21
45,29/09/2025 22:42:43,S12 03.286 W77 04.241,10,0:00:02,19
46,29/09/2025 22:43:43,S12 03.278 W77 04.167,136,0:01:00,8
47,29/09/2025 22:43:59,S12 03.276 W77 04.156,20,0:00:16,4
48,29/09/2025 22:44:45,S12 03.257 W77 04.001,283,0:00:46,22
49,29/09/2025 22:44:47,S12 03.251 W77 03.999,12,0:00:02,22
50,29/09/2025 22:45:47,S12 03.161 W77 04.010,169,0:01:00,10
51,29/09/2025 22:46:20,S12 03.148 W77 04.002,28,0:00:33,3
52,29/09/2025 22:47:20,S12 03.193 W77 03.857,276,0:01:00,17
53,29/09/2025 22:48:15,S12 03.250 W77 03.707,291,0:00:55,19
54,29/09/2025 22:48:18,S12 03.255 W77 03.706,10,0:00:03,11
55,29/09/2025 22:48:32,S12 03.281 W77 03.709,50,0:00:14,13
56,29/09/2025 22:48:34,S12 03.283 W77 03.707,5,0:00:02,9
57,29/09/2025 22:48:36,S12 03.283 W77 03.704,5,0:00:02,10
58,29/09/2025 22:48:38,S12 03.281 W77 03.703,5,0:00:02,9
59,29/09/2025 22:49:38,S12 03.234 W77 03.690,90,0:01:00,5
60,29/09/2025 22:49:50,S12 03.214 W77 03.679,43,0:00:12,13
61,29/09/2025 22:49:51,S12 03.214 W77 03.677,3,0:00:01,11
62,29/09/2025 22:50:30,S12 03.244 W77 03.599,154,0:00:39,14
63,29/09/2025 22:50:43,S12 03.253 W77 03.576,45,0:00:13,12
64,29/09/2025 22:51:01,S12 03.249 W77 03.571,11,0:00:18,2
65,29/09/2025 22:51:10,S12 03.235 W77 03.563,30,0:00:09,12
66,29/09/2025 22:51:12,S12 03.235 W77 03.558,9,0:00:02,16
67,29/09/2025 22:52:12,S12 03.272 W77 03.444,218,0:01:00,13
68,29/09/2025 22:52:28,S12 03.273 W77 03.438,11,0:00:16,2
69,29/09/2025 22:53:28,S12 03.277 W77 03.429,18,0:01:00,1
70,29/09/2025 22:54:28,S12 03.277 W77 03.429,0,0:01:00,0
71,29/09/2025 22:54:35,S12 03.283 W77 03.426,12,0:00:07,6
72,29/09/2025 22:54:39,S12 03.286 W77 03.428,8,0:00:04,7
73,29/09/2025 22:55:39,S12 03.298 W77 03.439,30,0:01:00,2
74,29/09/2025 22:56:12,S12 03.303 W77 03.443,11,0:00:33,1
75,29/09/2025 22:56:29,S12 03.331 W77 03.457,58,0:00:17,12
76,29/09/2025 22:56:31,S12 03.336 W77 03.453,11,0:00:02,20
77,29/09/2025 22:56:33,S12 03.336 W77 03.448,8,0:00:02,14
78,29/09/2025 22:56:36,S12 03.332 W77 03.445,9,0:00:03,11
79,29/09/2025 22:57:36,S12 03.281 W77 03.411,113,0:01:00,7
80,29/09/2025 22:57:47,S12 03.275 W77 03.406,14,0:00:11,5
81,29/09/2025 22:58:39,S12 03.270 W77 03.324,149,0:00:52,10
82,29/09/2025 22:58:40,S12 03.270 W77 03.321,5,0:00:01,19
83,29/09/2025 22:59:40,S12 03.255 W77 03.142,326,0:01:00,20
84,29/09/2025 23:00:40,S12 03.242 W77 02.985,284,0:01:00,17
85,29/09/2025 23:01:25,S12 03.244 W77 02.958,51,0:00:45,4
86,29/09/2025 23:02:09,S12 03.274 W77 02.952,56,0:00:44,5
87,29/09/2025 23:02:11,S12 03.275 W77 02.952,3,0:00:02,5
88,29/09/2025 23:02:58,S12 03.288 W77 02.950,25,0:00:47,2
89,29/09/2025 23:03:19,S12 03.301 W77 02.949,24,0:00:21,4
90,29/09/2025 23:04:15,S12 03.407 W77 02.953,196,0:00:56,13
91,29/09/2025 23:04:18,S12 03.411 W77 02.950,8,0:00:03,10
92,29/09/2025 23:04:20,S12 03.411 W77 02.947,6,0:00:02,10
93,29/09/2025 23:04:47,S12 03.403 W77 02.837,200,0:00:27,27
94,29/09/2025 23:04:49,S12 03.407 W77 02.834,9,0:00:02,16
95,29/09/2025 23:05:49,S12 03.503 W77 02.827,178,0:01:00,11
96,29/09/2025 23:06:45,S12 03.513 W77 02.830,20,0:00:56,1
97,29/09/2025 23:07:27,S12 03.567 W77 02.876,131,0:00:42,11
98,29/09/2025 23:08:08,S12 03.652 W77 02.945,200,0:00:41,18
99,29/09/2025 23:08:11,S12 03.655 W77 02.946,6,0:00:03,7
100,29/09/2025 23:09:11,S12 03.819 W77 03.087,396,0:01:00,24
101,29/09/2025 23:10:11,S12 03.920 W77 03.176,248,0:01:00,15
102,29/09/2025 23:10:39,S12 03.944 W77 03.191,52,0:00:28,7
103,29/09/2025 23:10:41,S12 03.947 W77 03.189,5,0:00:02,9
104,29/09/2025 23:11:41,S12 04.001 W77 03.121,159,0:01:00,10
105,29/09/2025 23:12:41,S12 04.041 W77 03.073,115,0:01:00,7
106,29/09/2025 23:13:41,S12 04.128 W77 02.965,252,0:01:00,15
107,29/09/2025 23:14:19,S12 04.132 W77 02.961,11,0:00:38,1
108,29/09/2025 23:14:54,S12 04.199 W77 02.870,206,0:00:35,21
109,29/09/2025 23:14:56,S12 04.197 W77 02.866,8,0:00:02,15
110,29/09/2025 23:15:56,S12 04.081 W77 02.773,274,0:01:00,16
111,29/09/2025 23:16:56,S12 03.954 W77 02.663,308,0:01:00,18
112,29/09/2025 23:17:13,S12 03.910 W77 02.642,89,0:00:17,19
113,29/09/2025 23:18:13,S12 03.872 W77 02.396,453,0:01:00,27
114,29/09/2025 23:19:13,S12 03.872 W77 02.395,2,0:01:00,0
115,29/09/2025 23:19:22,S12 03.871 W77 02.383,21,0:00:09,9
116,29/09/2025 23:19:27,S12 03.878 W77 02.366,33,0:00:05,24
117,29/09/2025 23:19:35,S12 03.892 W77 02.343,50,0:00:08,22
118,29/09/2025 23:20:35,S12 03.879 W77 02.269,135,0:01:00,8
119,29/09/2025 23:21:35,S12 03.873 W77 02.218,94,0:01:00,6
120,29/09/2025 23:21:46,S12 03.865 W77 02.176,78,0:00:11,25
121,29/09/2025 23:21:56,S12 03.844 W77 02.160,48,0:00:10,17
122,29/09/2025 23:22:20,S12 03.837 W77 02.094,120,0:00:24,18
123,29/09/2025 23:22:24,S12 03.837 W77 02.088,11,0:00:04,10
124,29/09/2025 23:23:24,S12 03.826 W77 02.017,130,0:01:00,8
125,29/09/2025 23:24:18,S12 03.817 W77 01.939,141,0:00:54,9
126,29/09/2025 23:24:24,S12 03.821 W77 01.934,12,0:00:06,7
127,29/09/2025 23:24:58,S12 03.893 W77 01.917,136,0:00:34,14
128,29/09/2025 23:25:05,S12 03.893 W77 01.903,26,0:00:07,13
129,29/09/2025 23:26:05,S12 03.883 W77 01.848,101,0:01:00,6
130,29/09/2025 23:27:05,S12 03.875 W77 01.762,156,0:01:00,9
131,29/09/2025 23:28:05,S12 03.876 W77 01.761,3,0:01:00,0
132,29/09/2025 23:29:05,S12 03.871 W77 01.733,52,0:01:00,3
133,29/09/2025 23:30:05,S12 03.865 W77 01.684,90,0:01:00,5
134,29/09/2025 23:30:13,S12 03.864 W77 01.675,16,0:00:08,7
135,29/09/2025 23:31:13,S12 03.850 W77 01.571,191,0:01:00,11
136,29/09/2025 23:31:36,S12 03.845 W77 01.550,40,0:00:23,6
137,29/09/2025 23:32:36,S12 03.824 W77 01.380,310,0:01:00,19
138,29/09/2025 23:33:36,S12 03.798 W77 01.195,338,0:01:00,20
139,29/09/2025 23:34:36,S12 03.789 W77 01.112,152,0:01:00,9
140,29/09/2025 23:35:36,S12 03.784 W77 01.075,68,0:01:00,4
141,29/09/2025 23:36:05,S12 03.783 W77 01.065,19,0:00:29,2
142,29/09/2025 23:37:05,S12 03.766 W77 00.933,242,0:01:00,15
143,29/09/2025 23:37:41,S12 03.760 W77 00.922,22,0:00:36,2
144,29/09/2025 23:37:46,S12 03.756 W77 00.922,8,0:00:05,6
145,29/09/2025 23:38:46,S12 03.645 W77 00.951,213,0:01:00,13
146,29/09/2025 23:39:46,S12 03.636 W77 00.954,17,0:01:00,1
147,29/09/2025 23:39:47,S12 03.630 W77 00.958,14,0:00:01,51
148,29/09/2025 23:40:01,S12 03.610 W77 00.964,39,0:00:14,10
149,29/09/2025 23:40:03,S12 03.608 W77 00.962,5,0:00:02,8
150,29/09/2025 23:41:03,S12 03.592 W77 00.914,92,0:01:00,6
151,29/09/2025 23:41:45,S12 03.560 W77 00.827,169,0:00:42,14
152,29/09/2025 23:41:47,S12 03.562 W77 00.824,6,0:00:02,11
153,29/09/2025 23:42:47,S12 03.581 W77 00.822,35,0:01:00,2
154,29/09/2025 23:43:36,S12 03.587 W77 00.818,12,0:00:49,1
155,29/09/2025 23:44:36,S12 03.639 W77 00.794,107,0:01:00,6
156,29/09/2025 23:44:47,S12 03.659 W77 00.788,39,0:00:11,13
157,29/09/2025 23:44:50,S12 03.661 W77 00.789,4,0:00:03,4
158,29/09/2025 23:45:50,S12 03.666 W77 00.806,32,0:01:00,2
159,29/09/2025 23:46:50,S12 03.662 W77 00.813,14,0:01:00,1
160,29/09/2025 23:47:50,S12 03.669 W77 00.833,38,0:01:00,2
161,29/09/2025 23:48:50,S12 03.669 W77 00.833,0,0:01:00,0
