Id,Latitud,Longitud,Año,Mes,Día,Hora,Minuto,Segundo,Velocidad (km/h),is_microparada
1,-12.011817,-76.877,2025,9,29,22,19,59,0,1
2,-12.013167,-76.8812,2025,9,29,22,20,59,29,0
3,-12.013733,-76.882817,2025,9,29,22,21,59,11,0
4,-12.013733,-76.882833,2025,9,29,22,22,5,1,1
5,-12.0145,-76.8851,2025,9,29,22,23,5,16,0
6,-12.014533,-76.8852,2025,9,29,22,23,9,10,0
7,-12.01465,-76.88555,2025,9,29,22,24,9,2,1
8,-12.016017,-76.889667,2025,9,29,22,25,9,28,0
9,-12.01685,-76.89215,2025,9,29,22,26,9,17,0
10,-12.019617,-76.900617,2025,9,29,22,27,9,58,0
11,-12.021033,-76.905,2025,9,29,22,28,9,30,0
12,-12.022283,-76.908933,2025,9,29,22,29,9,27,0
13,-12.023483,-76.912583,2025,9,29,22,30,9,25,0
14,-12.024167,-76.914683,2025,9,29,22,31,9,14,0
15,-12.0251,-76.917517,2025,9,29,22,32,9,20,0
16,-12.02595,-76.919983,2025,9,29,22,33,9,17,0
17,-12.0267,-76.9213,2025,9,29,22,34,9,10,0
18,-12.0272,-76.921983,2025,9,29,22,35,9,6,0
19,-12.028067,-76.92335,2025,9,29,22,36,9,11,0
20,-12.028967,-76.924167,2025,9,29,22,36,50,12,0
21,-12.0298,-76.924867,2025,9,29,22,37,11,21,0
22,-12.034767,-76.9291,2025,9,29,22,38,11,43,0
23,-12.034767,-76.929117,2025,9,29,22,38,14,1,1
24,-12.03625,-76.93035,2025,9,29,22,39,0,17,0
25,-12.037567,-76.931567,2025,9,29,22,40,0,12,0
26,-12.038667,-76.932417,2025,9,29,22,41,0,9,0
27,-12.03865,-76.93245,2025,9,29,22,42,0,0,1
28,-12.038867,-76.93255,2025,9,29,22,42,16,6,0
29,-12.042517,-76.935733,2025,9,29,22,43,16,32,0
30,-12.043017,-76.9363,2025,9,29,22,43,31,20,0
31,-12.043283,-76.937,2025,9,29,22,44,31,5,1
32,-12.043417,-76.937317,2025,9,29,22,45,31,2,1
33,-12.043483,-76.9375,2025,9,29,22,46,16,2,1
34,-12.044117,-76.9388,2025,9,29,22,47,16,9,0
35,-12.045983,-76.9436,2025,9,29,22,48,16,34,0
36,-12.046083,-76.9438,2025,9,29,22,49,16,2,1
37,-12.046083,-76.9438,2025,9,29,22,50,16,0,1
38,-12.046167,-76.94395,2025,9,29,22,50,55,2,1
39,-12.0476,-76.947417,2025,9,29,22,51,50,27,0
40,-12.04765,-76.947417,2025,9,29,22,51,52,11,0
41,-12.047667,-76.947383,2025,9,29,22,51,53,12,0
42,-12.047667,-76.947317,2025,9,29,22,51,55,13,0
43,-12.0466,-76.944683,2025,9,29,22,52,55,19,0
44,-12.0446,-76.939733,2025,9,29,22,53,55,35,0
45,-12.044267,-76.938733,2025,9,29,22,54,55,7,0
46,-12.044233,-76.938667,2025,9,29,22,55,37,1,1
47,-12.0442,-76.938617,2025,9,29,22,55,45,3,1
48,-12.044083,-76.938367,2025,9,29,22,55,53,13,0
49,-12.043717,-76.93745,2025,9,29,22,56,53,6,0
50,-12.0407,-76.934033,2025,9,29,22,57,53,30,0
51,-12.03855,-76.932133,2025,9,29,22,58,53,19,0
52,-12.037317,-76.931117,2025,9,29,22,59,53,11,0
53,-12.036417,-76.930367,2025,9,29,23,0,53,8,0
54,-12.03635,-76.930283,2025,9,29,23,0,59,8,0
55,-12.030983,-76.92565,2025,9,29,23,1,59,47,0
56,-12.030017,-76.924733,2025,9,29,23,2,59,9,0
57,-12.029883,-76.924633,2025,9,29,23,3,59,1,1
58,-12.029833,-76.9245,2025,9,29,23,4,17,3,1
59,-12.029567,-76.924383,2025,9,29,23,5,17,2,1
60,-12.029483,-76.9243,2025,9,29,23,5,49,1,1
61,-12.029117,-76.924,2025,9,29,23,6,49,3,1
62,-12.028983,-76.923867,2025,9,29,23,7,23,2,1
63,-12.0285,-76.923467,2025,9,29,23,8,23,4,1
64,-12.028483,-76.92345,2025,9,29,23,8,27,2,1
65,-12.028017,-76.92295,2025,9,29,23,9,27,5,1
66,-12.0277,-76.922467,2025,9,29,23,10,27,4,1
67,-12.0276,-76.922317,2025,9,29,23,10,44,4,1
68,-12.02745,-76.922233,2025,9,29,23,11,43,1,1
69,-12.027317,-76.922,2025,9,29,23,12,43,2,1
70,-12.027133,-76.9217,2025,9,29,23,13,43,2,1
71,-12.026917,-76.921433,2025,9,29,23,14,43,2,1
72,-12.026283,-76.9203,2025,9,29,23,15,43,8,0
73,-12.02485,-76.9166,2025,9,29,23,16,43,26,0
74,-12.024183,-76.91445,2025,9,29,23,17,43,15,0
75,-12.023067,-76.910967,2025,9,29,23,18,43,24,0
76,-12.022517,-76.909233,2025,9,29,23,19,43,12,0
77,-12.02175,-76.907,2025,9,29,23,20,44,15,0
78,-12.02175,-76.906983,2025,9,29,23,20,49,1,1
79,-12.020133,-76.9019,2025,9,29,23,21,49,35,0
80,-12.01975,-76.90075,2025,9,29,23,22,49,8,0
81,-12.018117,-76.89565,2025,9,29,23,23,49,35,0
82,-12.017033,-76.892267,2025,9,29,23,24,49,23,0
