Id,Latitud,Longitud,Año,Mes,Día,Hora,Minuto,Segundo,Velocidad (km/h),is_microparada
1,-12.019317,-76.899383,2025,9,29,22,19,19,0,1
2,-12.018083,-76.895517,2025,9,29,22,20,19,26,0
3,-12.018083,-76.895517,2025,9,29,22,20,34,0,1
4,-12.017383,-76.89345,2025,9,29,22,21,34,14,0
5,-12.016083,-76.889533,2025,9,29,22,22,34,27,0
6,-12.014967,-76.886183,2025,9,29,22,23,34,23,0
7,-12.014833,-76.885817,2025,9,29,22,24,34,3,1
8,-12.014733,-76.885533,2025,9,29,22,24,59,5,1
9,-12.014717,-76.885433,2025,9,29,22,25,59,1,1
10,-12.0142,-76.884033,2025,9,29,22,26,59,10,0
11,-12.012967,-76.880283,2025,9,29,22,27,59,26,0
12,-12.012067,-76.8775,2025,9,29,22,28,59,19,0
13,-12.012017,-76.877317,2025,9,29,22,29,26,3,1
14,-12.010317,-76.871367,2025,9,29,22,30,26,40,0
15,-12.009183,-76.865133,2025,9,29,22,31,26,41,0
16,-12.008267,-76.860167,2025,9,29,22,32,26,33,0
17,-12.007133,-76.854017,2025,9,29,22,33,26,41,0
18,-12.006983,-76.85315,2025,9,29,22,34,26,6,0
19,-12.00595,-76.8476,2025,9,29,22,35,26,37,0
20,-12.005117,-76.845183,2025,9,29,22,36,26,17,0
21,-12.0051,-76.845167,2025,9,29,22,37,7,0,1
22,-12.00505,-76.845083,2025,9,29,22,37,12,7,0
23,-12.004917,-76.844733,2025,9,29,22,38,6,3,1
24,-12.00475,-76.8445,2025,9,29,22,38,15,12,0
25,-12.000517,-76.839383,2025,9,29,22,39,15,44,0
26,-12.000283,-76.839117,2025,9,29,22,40,15,2,1
27,-12.000067,-76.838867,2025,9,29,22,41,15,2,1
28,-11.996067,-76.834033,2025,9,29,22,42,15,41,0
29,-11.9929,-76.826817,2025,9,29,22,43,15,52,0
30,-11.991367,-76.8231,2025,9,29,22,44,15,26,0
31,-11.99,-76.819883,2025,9,29,22,45,15,23,0
32,-11.989767,-76.81945,2025,9,29,22,46,15,3,1
33,-11.989717,-76.819317,2025,9,29,22,46,30,4,1
