Id,Fecha y hora,posición,Distancia (m),Tiempo de registro (s),Velocidad (km/h)
1,29/09/2025 22:20:03,S12 02.644 W76 56.293,0,0:00:00,0
2,29/09/2025 22:21:03,S12 02.608 W76 56.206,172,0:01:00,10
3,29/09/2025 22:22:03,S12 02.585 W76 56.158,96,0:01:00,6
4,29/09/2025 22:23:03,S12 02.439 W76 56.036,350,0:01:00,21
5,29/09/2025 22:24:03,S12 02.388 W76 55.990,124,0:01:00,7
6,29/09/2025 22:24:37,S12 02.380 W76 55.981,23,0:00:34,2
7,29/09/2025 22:25:37,S12 02.361 W76 55.967,44,0:01:00,3
8,29/09/2025 22:26:19,S12 02.354 W76 55.961,16,0:00:42,1
9,29/09/2025 22:27:19,S12 02.273 W76 55.893,194,0:01:00,12
10,29/09/2025 22:28:19,S12 02.197 W76 55.828,185,0:01:00,11
11,29/09/2025 22:29:19,S12 01.957 W76 55.624,578,0:01:00,35
12,29/09/2025 22:30:19,S12 01.789 W76 55.473,413,0:01:00,25
13,29/09/2025 22:31:19,S12 01.745 W76 55.437,105,0:01:00,6
14,29/09/2025 22:31:25,S12 01.744 W76 55.436,2,0:00:06,1
15,29/09/2025 22:32:25,S12 01.742 W76 55.434,6,0:01:00,0
16,29/09/2025 22:32:37,S12 01.736 W76 55.429,14,0:00:12,4
17,29/09/2025 22:33:37,S12 01.709 W76 55.405,67,0:01:00,4
18,29/09/2025 22:34:37,S12 01.675 W76 55.363,98,0:01:00,6
19,29/09/2025 22:35:37,S12 01.661 W76 55.344,44,0:01:00,3
20,29/09/2025 22:36:37,S12 01.660 W76 55.343,3,0:01:00,0
21,29/09/2025 22:37:02,S12 01.656 W76 55.335,15,0:00:25,2
22,29/09/2025 22:38:02,S12 01.641 W76 55.318,41,0:01:00,2
23,29/09/2025 22:39:02,S12 01.625 W76 55.293,55,0:01:00,3
24,29/09/2025 22:40:02,S12 01.602 W76 55.261,71,0:01:00,4
25,29/09/2025 22:41:02,S12 01.579 W76 55.216,93,0:01:00,6
26,29/09/2025 22:42:02,S12 01.530 W76 55.100,229,0:01:00,14
27,29/09/2025 22:42:21,S12 01.507 W76 55.034,126,0:00:19,24
28,29/09/2025 22:42:23,S12 01.505 W76 55.032,5,0:00:02,9
29,29/09/2025 22:43:23,S12 01.461 W76 54.891,268,0:01:00,16
30,29/09/2025 22:44:23,S12 01.439 W76 54.823,130,0:01:00,8
31,29/09/2025 22:45:02,S12 01.436 W76 54.816,14,0:00:39,1
32,29/09/2025 22:46:02,S12 01.382 W76 54.647,324,0:01:00,19
33,29/09/2025 22:47:02,S12 01.361 W76 54.584,119,0:01:00,7
34,29/09/2025 22:48:02,S12 01.314 W76 54.439,278,0:01:00,17
35,29/09/2025 22:48:08,S12 01.312 W76 54.432,12,0:00:06,7
36,29/09/2025 22:49:08,S12 01.213 W76 54.133,573,0:01:00,34
37,29/09/2025 22:50:08,S12 01.160 W76 53.963,324,0:01:00,19
38,29/09/2025 22:51:08,S12 01.082 W76 53.720,462,0:01:00,28
39,29/09/2025 22:52:08,S12 00.996 W76 53.457,505,0:01:00,30
40,29/09/2025 22:53:08,S12 00.907 W76 53.194,504,0:01:00,30
41,29/09/2025 22:54:08,S12 00.892 W76 53.148,87,0:01:00,5
42,29/09/2025 22:54:14,S12 00.890 W76 53.143,10,0:00:06,6
43,29/09/2025 22:55:14,S12 00.881 W76 53.112,59,0:01:00,4
44,29/09/2025 22:56:15,S12 00.832 W76 52.968,276,0:01:01,16
45,29/09/2025 22:57:15,S12 00.795 W76 52.862,204,0:01:00,12
46,29/09/2025 22:58:15,S12 00.714 W76 52.617,468,0:01:00,28
47,29/09/2025 22:58:18,S12 00.714 W76 52.616,2,0:00:03,3
48,29/09/2025 22:59:18,S12 00.631 W76 52.331,539,0:01:00,32
49,29/09/2025 23:00:18,S12 00.600 W76 52.162,311,0:01:00,19
50,29/09/2025 23:01:18,S12 00.560 W76 51.939,412,0:01:00,25
51,29/09/2025 23:02:18,S12 00.532 W76 51.798,261,0:01:00,16
52,29/09/2025 23:03:18,S12 00.449 W76 51.343,840,0:01:00,50
53,29/09/2025 23:04:18,S12 00.426 W76 51.219,229,0:01:00,14
54,29/09/2025 23:05:18,S12 00.405 W76 51.111,198,0:01:00,12
55,29/09/2025 23:06:18,S12 00.353 W76 50.830,519,0:01:00,31
56,29/09/2025 23:07:18,S12 00.311 W76 50.712,227,0:01:00,14
57,29/09/2025 23:07:51,S12 00.305 W76 50.700,24,0:00:33,3
58,29/09/2025 23:08:51,S12 00.294 W76 50.677,47,0:01:00,3
59,29/09/2025 23:09:51,S12 00.180 W76 50.536,333,0:01:00,20
60,29/09/2025 23:10:51,S12 00.019 W76 50.345,455,0:01:00,27
61,29/09/2025 23:11:42,S12 00.013 W76 50.337,20,0:00:51,1
62,29/09/2025 23:12:42,S11 59.815 W76 50.104,558,0:01:00,33
63,29/09/2025 23:13:42,S11 59.623 W76 49.723,778,0:01:00,47
64,29/09/2025 23:14:42,S11 59.523 W76 49.483,473,0:01:00,28
65,29/09/2025 23:15:42,S11 59.429 W76 49.260,440,0:01:00,26
66,29/09/2025 23:16:42,S11 59.387 W76 49.161,194,0:01:00,12
67,29/09/2025 23:17:42,S11 59.379 W76 49.141,41,0:01:00,2
68,29/09/2025 23:18:42,S11 59.379 W76 49.138,4,0:01:00,0
69,29/09/2025 23:19:34,S11 59.370 W76 49.117,43,0:00:52,3
70,29/09/2025 23:20:33,S11 59.297 W76 48.933,360,0:00:59,22
71,29/09/2025 23:21:33,S11 59.231 W76 48.773,313,0:01:00,19
72,29/09/2025 23:22:33,S11 59.142 W76 48.557,425,0:01:00,26
73,29/09/2025 23:23:33,S11 59.016 W76 48.206,678,0:01:00,41
74,29/09/2025 23:24:33,S11 58.929 W76 47.843,677,0:01:00,41
75,29/09/2025 23:25:33,S11 58.897 W76 47.707,254,0:01:00,15
76,29/09/2025 23:26:33,S11 58.845 W76 47.489,408,0:01:00,24
77,29/09/2025 23:27:33,S11 58.797 W76 47.283,383,0:01:00,23
78,29/09/2025 23:28:33,S11 58.748 W76 47.076,386,0:01:00,23
79,29/09/2025 23:28:36,S11 58.747 W76 47.075,2,0:00:03,2
80,29/09/2025 23:29:36,S11 58.694 W76 46.827,461,0:01:00,28
81,29/09/2025 23:30:36,S11 58.653 W76 46.627,370,0:01:00,22
82,29/09/2025 23:31:36,S11 58.602 W76 46.407,411,0:01:00,25
83,29/09/2025 23:32:36,S11 58.568 W76 46.294,214,0:01:00,13
84,29/09/2025 23:33:36,S11 58.500 W76 46.079,410,0:01:00,25
85,29/09/2025 23:34:36,S11 58.463 W76 45.911,312,0:01:00,19
86,29/09/2025 23:35:36,S11 58.433 W76 45.648,480,0:01:00,29
87,29/09/2025 23:36:36,S11 58.357 W76 45.447,391,0:01:00,23
88,29/09/2025 23:37:36,S11 58.287 W76 45.271,345,0:01:00,21
89,29/09/2025 23:38:36,S11 58.190 W76 45.032,470,0:01:00,28
90,29/09/2025 23:39:36,S11 58.123 W76 44.844,362,0:01:00,22
91,29/09/2025 23:40:36,S11 58.108 W76 44.759,157,0:01:00,9
92,29/09/2025 23:40:45,S11 58.075 W76 44.736,75,0:00:09,30
93,29/09/2025 23:41:45,S11 57.910 W76 44.565,434,0:01:00,26
94,29/09/2025 23:42:45,S11 57.729 W76 44.311,571,0:01:00,34
95,29/09/2025 23:43:45,S11 57.485 W76 44.046,660,0:01:00,40
96,29/09/2025 23:44:45,S11 57.233 W76 43.774,678,0:01:00,41
97,29/09/2025 23:45:45,S11 57.106 W76 43.616,371,0:01:00,22
98,29/09/2025 23:46:45,S11 56.990 W76 43.363,508,0:01:00,30
99,29/09/2025 23:47:45,S11 56.878 W76 43.077,558,0:01:00,33
