Id,Latitud,Longitud,Año,Mes,Día,Hora,Minuto,Segundo,Velocidad (km/h),is_microparada
1,-12.058167,-77.014267,2025,9,29,22,16,4,0,1
2,-12.05905,-77.013917,2025,9,29,22,17,4,6,0
3,-12.05905,-77.013917,2025,9,29,22,18,4,0,1
4,-12.05905,-77.013917,2025,9,29,22,19,4,0,1
5,-12.05905,-77.013917,2025,9,29,22,20,4,0,1
6,-12.05905,-77.013917,2025,9,29,22,21,4,0,1
7,-12.05905,-77.013917,2025,9,29,22,22,4,0,1
8,-12.05905,-77.013917,2025,9,29,22,23,4,0,1
9,-12.05905,-77.013917,2025,9,29,22,24,4,0,1
10,-12.05905,-77.013917,2025,9,29,22,25,4,0,1
11,-12.05905,-77.013917,2025,9,29,22,26,4,0,1
12,-12.05905,-77.013917,2025,9,29,22,27,4,0,1
13,-12.059533,-77.0137,2025,9,29,22,28,4,4,1
14,-12.059633,-77.013683,2025,9,29,22,29,4,1,1
15,-12.059633,-77.013683,2025,9,29,22,30,4,0,1
16,-12.059633,-77.013683,2025,9,29,22,31,4,0,1
17,-12.059917,-77.013583,2025,9,29,22,31,50,3,1
18,-12.060733,-77.013233,2025,9,29,22,32,50,6,0
19,-12.060733,-77.013233,2025,9,29,22,33,50,0,1
20,-12.060733,-77.013233,2025,9,29,22,34,50,0,1
21,-12.060733,-77.013233,2025,9,29,22,35,50,0,1
22,-12.061033,-77.013183,2025,9,29,22,36,4,9,0
23,-12.061083,-77.013233,2025,9,29,22,36,9,7,0
24,-12.061133,-77.01375,2025,9,29,22,37,9,3,1
25,-12.061133,-77.01415,2025,9,29,22,38,9,3,1
26,-12.0612,-77.014733,2025,9,29,22,39,9,4,1
27,-12.061267,-77.015183,2025,9,29,22,40,9,3,1
28,-12.061267,-77.015183,2025,9,29,22,41,9,0,1
29,-12.061267,-77.015183,2025,9,29,22,42,9,0,1
30,-12.061267,-77.015183,2025,9,29,22,43,9,0,1
31,-12.061267,-77.015183,2025,9,29,22,44,9,0,1
32,-12.06135,-77.015767,2025,9,29,22,45,9,4,1
33,-12.061517,-77.01705,2025,9,29,22,46,9,8,0
34,-12.061733,-77.018767,2025,9,29,22,47,9,11,0
