Id,Fecha y hora,posición,Distancia (m),Tiempo de registro (s),Velocidad (km/h)
1,29/09/2025 22:20:02,S12 03.391 W77 02.753,0,0:00:00,0
2,29/09/2025 22:20:34,S12 03.385 W77 02.710,78,0:00:32,9
3,29/09/2025 22:20:42,S12 03.373 W77 02.708,23,0:00:08,10
4,29/09/2025 22:21:42,S12 03.302 W77 02.702,131,0:01:00,8
5,29/09/2025 22:21:59,S12 03.291 W77 02.701,20,0:00:17,4
6,29/09/2025 22:22:02,S12 03.288 W77 02.702,7,0:00:03,8
7,29/09/2025 22:22:08,S12 03.284 W77 02.704,8,0:00:06,5
8,29/09/2025 22:22:10,S12 03.283 W77 02.707,6,0:00:02,11
9,29/09/2025 22:23:10,S12 03.292 W77 02.834,229,0:01:00,14
10,29/09/2025 22:24:10,S12 03.301 W77 02.941,195,0:01:00,12
11,29/09/2025 22:25:10,S12 03.309 W77 03.033,168,0:01:00,10
12,29/09/2025 22:25:19,S12 03.310 W77 03.034,3,0:00:09,1
13,29/09/2025 22:26:19,S12 03.320 W77 03.143,198,0:01:00,12
14,29/09/2025 22:27:19,S12 03.327 W77 03.245,186,0:01:00,11
15,29/09/2025 22:28:19,S12 03.335 W77 03.412,302,0:01:00,18
16,29/09/2025 22:29:19,S12 03.334 W77 03.411,2,0:01:00,0
17,29/09/2025 22:30:19,S12 03.332 W77 03.431,36,0:01:00,2
18,29/09/2025 22:31:16,S12 03.328 W77 03.441,18,0:00:57,1
19,29/09/2025 22:32:16,S12 03.274 W77 03.627,352,0:01:00,21
20,29/09/2025 22:33:16,S12 03.235 W77 03.733,207,0:01:00,12
21,29/09/2025 22:34:16,S12 03.214 W77 03.793,115,0:01:00,7
22,29/09/2025 22:35:16,S12 03.173 W77 03.914,232,0:01:00,14
23,29/09/2025 22:36:16,S12 03.147 W77 04.002,167,0:01:00,10
24,29/09/2025 22:37:16,S12 03.151 W77 04.009,15,0:01:00,1
25,29/09/2025 22:37:19,S12 03.161 W77 04.012,19,0:00:03,23
26,29/09/2025 22:37:39,S12 03.258 W77 04.006,180,0:00:20,32
27,29/09/2025 22:37:41,S12 03.260 W77 04.013,13,0:00:02,23
28,29/09/2025 22:38:41,S12 03.271 W77 04.144,238,0:01:00,14
29,29/09/2025 22:39:21,S12 03.272 W77 04.154,17,0:00:40,2
30,29/09/2025 22:39:52,S12 03.281 W77 04.244,164,0:00:31,19
31,29/09/2025 22:39:54,S12 03.278 W77 04.246,8,0:00:02,14
32,29/09/2025 22:40:16,S12 03.206 W77 04.254,135,0:00:22,22
33,29/09/2025 22:41:16,S12 03.096 W77 04.267,204,0:01:00,12
34,29/09/2025 22:42:01,S12 02.956 W77 04.283,262,0:00:45,21
35,29/09/2025 22:42:04,S12 02.952 W77 04.288,11,0:00:03,14
36,29/09/2025 22:43:04,S12 02.965 W77 04.413,228,0:01:00,14
37,29/09/2025 22:44:04,S12 02.978 W77 04.604,346,0:01:00,21
38,29/09/2025 22:45:04,S12 02.983 W77 04.638,63,0:01:00,4
39,29/09/2025 22:46:04,S12 02.981 W77 04.637,3,0:01:00,0
40,29/09/2025 22:47:04,S12 02.981 W77 04.637,0,0:01:00,0
41,29/09/2025 22:48:04,S12 02.981 W77 04.637,0,0:01:00,0
42,29/09/2025 22:49:04,S12 02.981 W77 04.637,0,0:01:00,0
43,29/09/2025 22:50:04,S12 02.981 W77 04.637,0,0:01:00,0
44,29/09/2025 22:50:19,S12 02.985 W77 04.650,24,0:00:15,6
45,29/09/2025 22:50:28,S12 02.992 W77 04.666,31,0:00:09,12
46,29/09/2025 22:50:32,S12 02.996 W77 04.668,9,0:00:04,8
47,29/09/2025 22:50:35,S12 02.999 W77 04.667,7,0:00:03,8
48,29/09/2025 22:50:41,S12 03.006 W77 04.660,17,0:00:06,10
49,29/09/2025 22:51:41,S12 03.010 W77 04.641,36,0:01:00,2
50,29/09/2025 22:52:41,S12 03.010 W77 04.640,1,0:01:00,0
51,29/09/2025 22:53:41,S12 03.010 W77 04.640,0,0:01:00,0
52,29/09/2025 22:54:41,S12 03.007 W77 04.632,17,0:01:00,1
53,29/09/2025 22:55:41,S12 02.995 W77 04.521,202,0:01:00,12
54,29/09/2025 22:56:42,S12 02.982 W77 04.396,228,0:01:01,13
55,29/09/2025 22:57:43,S12 02.974 W77 04.327,125,0:01:01,7
56,29/09/2025 22:57:52,S12 02.971 W77 04.312,29,0:00:09,12
57,29/09/2025 22:57:57,S12 02.967 W77 04.303,18,0:00:05,13
58,29/09/2025 22:58:18,S12 02.965 W77 04.283,36,0:00:21,6
59,29/09/2025 22:58:20,S12 02.967 W77 04.281,5,0:00:02,10
