Id,Latitud,Longitud,Año,Mes,Día,Hora,Minuto,Segundo,Velocidad (km/h),is_microparada
1,-12.0343,-77.000317,2025,9,29,22,16,0,0,1
2,-12.0336,-76.998683,2025,9,29,22,17,0,12,0
3,-12.033383,-76.9983,2025,9,29,22,17,17,10,0
4,-12.033283,-76.998267,2025,9,29,22,17,20,13,0
5,-12.033167,-76.998333,2025,9,29,22,17,36,3,1
6,-12.033117,-76.99835,2025,9,29,22,17,40,5,1
7,-12.033,-76.998417,2025,9,29,22,17,47,8,0
8,-12.032983,-76.9984,2025,9,29,22,18,47,0,1
9,-12.03275,-76.9986,2025,9,29,22,19,29,3,1
10,-12.032167,-76.998883,2025,9,29,22,20,29,4,1
11,-12.032167,-76.9989,2025,9,29,22,20,38,1,1
12,-12.031533,-76.9991,2025,9,29,22,21,38,4,1
13,-12.031483,-76.999133,2025,9,29,22,21,46,3,1
14,-12.030967,-76.999383,2025,9,29,22,22,46,4,1
15,-12.030817,-76.999417,2025,9,29,22,23,41,1,1
16,-12.030683,-76.999483,2025,9,29,22,23,49,8,0
17,-12.02995,-76.99975,2025,9,29,22,24,32,7,0
18,-12.0282,-76.999767,2025,9,29,22,25,32,12,0
19,-12.028183,-76.999783,2025,9,29,22,25,36,3,1
20,-12.027333,-76.999933,2025,9,29,22,26,8,11,0
21,-12.0272,-76.999967,2025,9,29,22,26,12,13,0
22,-12.026283,-77.000183,2025,9,29,22,27,12,6,0
23,-12.026083,-77.00025,2025,9,29,22,27,16,21,0
24,-12.025567,-77.000367,2025,9,29,22,28,16,4,1
25,-12.025333,-77.00035,2025,9,29,22,28,39,4,1
26,-12.025317,-77.000233,2025,9,29,22,29,39,1,1
27,-12.025267,-77.0,2025,9,29,22,30,5,3,1
28,-12.025033,-76.9988,2025,9,29,22,31,5,8,0
29,-12.025033,-76.9988,2025,9,29,22,32,5,0,1
30,-12.024933,-76.99855,2025,9,29,22,32,26,5,1
31,-12.024583,-76.99685,2025,9,29,22,33,26,11,0
32,-12.024583,-76.996817,2025,9,29,22,33,29,5,1
33,-12.024417,-76.993467,2025,9,29,22,34,29,22,0
34,-12.024383,-76.991483,2025,9,29,22,35,29,13,0
35,-12.024367,-76.991383,2025,9,29,22,35,49,2,1
36,-12.024267,-76.9889,2025,9,29,22,36,49,16,0
37,-12.02425,-76.9888,2025,9,29,22,37,17,1,1
38,-12.023817,-76.986267,2025,9,29,22,38,17,17,0
39,-12.0238,-76.986117,2025,9,29,22,38,42,2,1
40,-12.023783,-76.986083,2025,9,29,22,38,44,9,0
41,-12.02375,-76.9861,2025,9,29,22,38,45,11,0
42,-12.023133,-76.986133,2025,9,29,22,39,45,4,1
43,-12.022967,-76.986117,2025,9,29,22,40,36,1,1
44,-12.021717,-76.986117,2025,9,29,22,41,36,8,0
45,-12.021133,-76.9861,2025,9,29,22,41,49,18,0
46,-12.021,-76.985917,2025,9,29,22,41,53,23,0
47,-12.020117,-76.984817,2025,9,29,22,42,13,28,0
48,-12.0175,-76.983483,2025,9,29,22,43,13,19,0
49,-12.015283,-76.982367,2025,9,29,22,44,13,17,0
50,-12.01285,-76.9804,2025,9,29,22,45,13,21,0
51,-12.0115,-76.979333,2025,9,29,22,45,43,23,0
52,-12.01045,-76.97925,2025,9,29,22,46,13,14,0
