Id,Fecha y hora,posición,Distancia (m),Tiempo de registro (s),Velocidad (km/h)
1,29/09/2025 22:19:19,S12 01.159 W76 53.963,0,0:00:00,0
2,29/09/2025 22:20:19,S12 01.085 W76 53.731,442,0:01:00,26
3,29/09/2025 22:20:34,S12 01.085 W76 53.731,0,0:00:15,0
4,29/09/2025 22:21:34,S12 01.043 W76 53.607,238,0:01:00,14
5,29/09/2025 22:22:34,S12 00.965 W76 53.372,451,0:01:00,27
6,29/09/2025 22:23:34,S12 00.898 W76 53.171,384,0:01:00,23
7,29/09/2025 22:24:34,S12 00.890 W76 53.149,43,0:01:00,3
8,29/09/2025 22:24:59,S12 00.884 W76 53.132,34,0:00:25,5
9,29/09/2025 22:25:59,S12 00.883 W76 53.126,11,0:01:00,1
10,29/09/2025 22:26:59,S12 00.852 W76 53.042,162,0:01:00,10
11,29/09/2025 22:27:59,S12 00.778 W76 52.817,431,0:01:00,26
12,29/09/2025 22:28:59,S12 00.724 W76 52.650,318,0:01:00,19
13,29/09/2025 22:29:26,S12 00.721 W76 52.639,21,0:00:27,3
14,29/09/2025 22:30:26,S12 00.619 W76 52.282,674,0:01:00,40
15,29/09/2025 22:31:26,S12 00.551 W76 51.908,690,0:01:00,41
16,29/09/2025 22:32:26,S12 00.496 W76 51.610,550,0:01:00,33
17,29/09/2025 22:33:26,S12 00.428 W76 51.241,680,0:01:00,41
18,29/09/2025 22:34:26,S12 00.419 W76 51.189,97,0:01:00,6
19,29/09/2025 22:35:26,S12 00.357 W76 50.856,614,0:01:00,37
20,29/09/2025 22:36:26,S12 00.307 W76 50.711,278,0:01:00,17
21,29/09/2025 22:37:07,S12 00.306 W76 50.710,3,0:00:41,0
22,29/09/2025 22:37:12,S12 00.303 W76 50.705,10,0:00:05,7
23,29/09/2025 22:38:06,S12 00.295 W76 50.684,42,0:00:54,3
24,29/09/2025 22:38:15,S12 00.285 W76 50.670,31,0:00:09,12
25,29/09/2025 22:39:15,S12 00.031 W76 50.363,729,0:01:00,44
26,29/09/2025 22:40:15,S12 00.017 W76 50.347,39,0:01:00,2
27,29/09/2025 22:41:15,S12 00.004 W76 50.332,36,0:01:00,2
28,29/09/2025 22:42:15,S11 59.764 W76 50.042,688,0:01:00,41
29,29/09/2025 22:43:15,S11 59.574 W76 49.609,861,0:01:00,52
30,29/09/2025 22:44:15,S11 59.482 W76 49.386,439,0:01:00,26
