Id,Fecha y hora,posición,Distancia (m),Tiempo de registro (s),Velocidad (km/h)
81,29/09/2025 23:13:48,S12 00.611 W76 58.772,63,0:00:32,7
82,29/09/2025 23:13:56,S12 00.630 W76 58.759,44,0:00:08,20
83,29/09/2025 23:14:11,S12 00.661 W76 58.761,57,0:00:15,14
84,29/09/2025 23:15:06,S12 00.724 W76 58.784,123,0:00:55,8
85,29/09/2025 23:16:06,S12 00.839 W76 58.906,308,0:01:00,18
86,29/09/2025 23:17:06,S12 00.948 W76 58.964,228,0:01:00,14
87,29/09/2025 23:18:06,S12 01.031 W76 59.009,174,0:01:00,10
88,29/09/2025 23:19:06,S12 01.031 W76 59.009,0,0:01:00,0
89,29/09/2025 23:20:05,S12 01.050 W76 59.017,38,0:00:59,2
90,29/09/2025 23:21:05,S12 01.135 W76 59.061,177,0:01:00,11
91,29/09/2025 23:22:04,S12 01.223 W76 59.118,193,0:00:59,12
92,29/09/2025 23:23:04,S12 01.264 W76 59.162,110,0:01:00,7
93,29/09/2025 23:23:42,S12 01.272 W76 59.167,17,0:00:38,2
94,29/09/2025 23:24:42,S12 01.301 W76 59.166,55,0:01:00,3
95,29/09/2025 23:24:50,S12 01.303 W76 59.166,3,0:00:08,2
96,29/09/2025 23:25:50,S12 01.317 W76 59.167,27,0:01:00,2
97,29/09/2025 23:26:50,S12 01.345 W76 59.164,52,0:01:00,3
98,29/09/2025 23:27:50,S12 01.345 W76 59.164,0,0:01:00,0
99,29/09/2025 23:28:50,S12 01.362 W76 59.165,32,0:01:00,2
100,29/09/2025 23:29:50,S12 01.363 W76 59.166,2,0:01:00,0
101,29/09/2025 23:30:50,S12 01.363 W76 59.166,0,0:01:00,0
102,29/09/2025 23:31:01,S12 01.372 W76 59.169,17,0:00:11,5
103,29/09/2025 23:32:01,S12 01.380 W76 59.309,254,0:01:00,15
104,29/09/2025 23:33:01,S12 01.361 W76 59.421,207,0:01:00,12
105,29/09/2025 23:34:01,S12 01.342 W76 59.475,103,0:01:00,6
106,29/09/2025 23:34:34,S12 01.342 W76 59.483,15,0:00:33,2
107,29/09/2025 23:35:00,S12 01.327 W76 59.548,122,0:00:26,17
108,29/09/2025 23:36:00,S12 01.332 W76 59.792,442,0:01:00,27
109,29/09/2025 23:37:00,S12 01.367 W76 59.901,208,0:01:00,12
110,29/09/2025 23:37:39,S12 01.369 W76 59.965,116,0:00:39,11
111,29/09/2025 23:38:39,S12 01.366 W76 59.968,6,0:01:00,0
112,29/09/2025 23:38:45,S12 01.365 W76 59.980,23,0:00:06,14
113,29/09/2025 23:39:45,S12 01.366 W76 59.998,33,0:01:00,2
114,29/09/2025 23:39:52,S12 01.363 W77 00.007,16,0:00:07,8
115,29/09/2025 23:40:52,S12 01.360 W77 00.026,36,0:01:00,2
116,29/09/2025 23:41:52,S12 01.361 W77 00.038,21,0:01:00,1
117,29/09/2025 23:42:24,S12 01.357 W77 00.045,15,0:00:32,2
118,29/09/2025 23:42:26,S12 01.352 W77 00.045,9,0:00:02,17
119,29/09/2025 23:42:47,S12 01.255 W77 00.033,181,0:00:21,31
120,29/09/2025 23:42:49,S12 01.253 W77 00.035,6,0:00:02,11
121,29/09/2025 23:43:07,S12 01.246 W77 00.084,89,0:00:18,18
122,29/09/2025 23:43:10,S12 01.249 W77 00.087,8,0:00:03,9
123,29/09/2025 23:44:10,S12 01.440 W77 00.116,359,0:01:00,22
124,29/09/2025 23:44:22,S12 01.444 W77 00.115,6,0:00:12,2
125,29/09/2025 23:45:22,S12 01.505 W77 00.120,113,0:01:00,7
126,29/09/2025 23:45:41,S12 01.511 W77 00.118,13,0:00:19,2
127,29/09/2025 23:46:41,S12 01.533 W77 00.112,41,0:01:00,2
128,29/09/2025 23:47:18,S12 01.551 W77 00.108,35,0:00:37,3
129,29/09/2025 23:48:18,S12 01.599 W77 00.093,93,0:01:00,6
130,29/09/2025 23:49:18,S12 01.598 W77 00.091,6,0:01:00,0
131,29/09/2025 23:50:18,S12 01.598 W77 00.091,0,0:01:00,0
132,29/09/2025 23:51:18,S12 01.616 W77 00.087,34,0:01:00,2
133,29/09/2025 23:52:18,S12 01.616 W77 00.087,0,0:01:00,0
134,29/09/2025 23:53:18,S12 01.708 W77 00.055,180,0:01:00,11
