Id,Latitud,Longitud,Año,Mes,Día,Hora,Minuto,Segundo,Velocidad (km/h),is_microparada
1,-12.023217,-76.9115,2025,9,29,22,15,2,0,1
2,-12.0225,-76.909267,2025,9,29,22,16,2,15,0
3,-12.022417,-76.908967,2025,9,29,22,16,28,5,1
4,-12.02085,-76.904283,2025,9,29,22,17,28,32,0
5,-12.020033,-76.901633,2025,9,29,22,18,28,18,0
6,-12.019733,-76.900633,2025,9,29,22,19,28,7,0
7,-12.017967,-76.895183,2025,9,29,22,20,28,38,0
8,-12.016017,-76.889217,2025,9,29,22,21,28,41,0
9,-12.015083,-76.886483,2025,9,29,22,22,28,19,0
10,-12.015,-76.886117,2025,9,29,22,23,8,4,1
11,-12.014717,-76.885133,2025,9,29,22,24,8,7,0
12,-12.014567,-76.884967,2025,9,29,22,24,28,5,1
13,-12.013417,-76.881533,2025,9,29,22,25,28,24,0
14,-12.012233,-76.878033,2025,9,29,22,26,28,24,0
15,-12.011783,-76.87665,2025,9,29,22,27,28,9,0
16,-12.010233,-76.870917,2025,9,29,22,28,28,39,0
17,-12.009533,-76.867067,2025,9,29,22,29,28,26,0
18,-12.009067,-76.8644,2025,9,29,22,30,28,18,0
19,-12.00895,-76.86385,2025,9,29,22,30,52,9,0
20,-12.007933,-76.8583,2025,9,29,22,31,52,37,0
21,-12.007117,-76.853767,2025,9,29,22,32,52,30,0
22,-12.007033,-76.8532,2025,9,29,22,33,52,4,1
23,-12.006333,-76.849517,2025,9,29,22,34,52,25,0
24,-12.0054,-76.845767,2025,9,29,22,35,52,25,0
25,-12.00515,-76.84525,2025,9,29,22,36,52,4,1
26,-12.004933,-76.844833,2025,9,29,22,37,52,3,1
27,-12.004817,-76.844633,2025,9,29,22,38,19,3,1
28,-12.0048,-76.844533,2025,9,29,22,38,23,10,0
29,-12.00485,-76.844483,2025,9,29,22,38,25,14,0
30,-12.008383,-76.84205,2025,9,29,22,39,18,32,0
31,-12.008317,-76.8392,2025,9,29,22,39,58,28,0
32,-12.009583,-76.837133,2025,9,29,22,40,58,16,0
33,-12.011033,-76.834117,2025,9,29,22,41,58,22,0
34,-12.011,-76.8338,2025,9,29,22,42,3,25,0
35,-12.009233,-76.83195,2025,9,29,22,42,29,39,0
36,-12.00885,-76.831617,2025,9,29,22,42,54,8,0
37,-12.008883,-76.831533,2025,9,29,22,42,57,12,0
38,-12.0108,-76.828767,2025,9,29,22,43,56,22,0
39,-12.0128,-76.825983,2025,9,29,22,44,56,23,0
40,-12.012967,-76.825683,2025,9,29,22,45,56,2,1
41,-12.012967,-76.825683,2025,9,29,22,46,56,0,1
42,-12.013217,-76.825267,2025,9,29,22,47,56,3,1
43,-12.01325,-76.82515,2025,9,29,22,48,39,1,1
44,-12.015083,-76.8226,2025,9,29,22,49,39,21,0
45,-12.015967,-76.821,2025,9,29,22,50,24,16,0
46,-12.015683,-76.819683,2025,9,29,22,50,53,18,0
47,-12.015433,-76.8189,2025,9,29,22,51,5,27,0
48,-12.015467,-76.818817,2025,9,29,22,51,7,20,0
49,-12.0165,-76.818,2025,9,29,22,51,34,19,0
50,-12.0168,-76.817167,2025,9,29,22,51,48,25,0
51,-12.01675,-76.817133,2025,9,29,22,51,51,7,0
52,-12.016583,-76.8171,2025,9,29,22,51,59,9,0
53,-12.016567,-76.817117,2025,9,29,22,52,1,5,1
54,-12.016567,-76.81715,2025,9,29,22,52,3,6,0
55,-12.016633,-76.8172,2025,9,29,22,53,3,1,1
56,-12.016633,-76.8172,2025,9,29,22,54,3,0,1
57,-12.016633,-76.8172,2025,9,29,22,55,3,0,1
58,-12.016633,-76.8172,2025,9,29,22,56,3,0,1
59,-12.016633,-76.8172,2025,9,29,22,57,3,0,1
60,-12.016117,-76.81835,2025,9,29,22,57,29,19,0
61,-12.01275,-76.82,2025,9,29,22,58,29,25,0
62,-12.010067,-76.821633,2025,9,29,22,59,27,22,0
63,-12.00905,-76.823067,2025,9,29,23,0,27,12,0
64,-12.007917,-76.825183,2025,9,29,23,1,27,16,0
65,-12.006283,-76.829467,2025,9,29,23,2,27,30,0
66,-12.0058,-76.830083,2025,9,29,23,3,8,8,0
67,-12.005217,-76.83045,2025,9,29,23,3,21,21,0
68,-12.004183,-76.831617,2025,9,29,23,3,46,25,0
69,-12.000483,-76.833233,2025,9,29,23,4,46,27,0
70,-11.998967,-76.8338,2025,9,29,23,5,16,21,0
71,-11.99895,-76.83375,2025,9,29,23,5,18,11,0
72,-11.998967,-76.833717,2025,9,29,23,5,47,1,1
73,-12.00035,-76.83315,2025,9,29,23,6,17,20,0
74,-12.00035,-76.8331,2025,9,29,23,6,19,13,0
75,-11.999567,-76.8313,2025,9,29,23,6,57,20,0
76,-11.999533,-76.8312,2025,9,29,23,7,57,1,1
77,-11.999533,-76.8312,2025,9,29,23,8,57,0,1
78,-11.999533,-76.8312,2025,9,29,23,9,44,0,1
79,-11.999583,-76.83115,2025,9,29,23,9,45,31,0
80,-11.999533,-76.831167,2025,9,29,23,9,49,7,0
81,-11.999533,-76.831167,2025,9,29,23,12,59,0,1
82,-11.999533,-76.831167,2025,9,29,23,16,9,0,1
83,-11.999533,-76.831167,2025,9,29,23,19,19,0,1
