Id,Latitud,Longitud,Año,Mes,Día,Hora,Minuto,Segundo,Velocidad (km/h),is_microparada
1,-12.067817,-77.050633,2025,9,29,22,15,14,0,1
2,-12.0689,-77.049283,2025,9,29,22,16,14,11,0
3,-12.06895,-77.049267,2025,9,29,22,16,44,1,1
4,-12.069733,-77.048283,2025,9,29,22,17,44,8,0
5,-12.069983,-77.047817,2025,9,29,22,18,14,7,0
6,-12.069933,-77.047717,2025,9,29,22,18,17,15,0
7,-12.06825,-77.046383,2025,9,29,22,19,17,14,0
8,-12.068067,-77.0462,2025,9,29,22,20,17,2,1
9,-12.06555,-77.04425,2025,9,29,22,20,58,31,0
10,-12.065217,-77.044233,2025,9,29,22,21,19,6,0
11,-12.065167,-77.044133,2025,9,29,22,21,22,14,0
12,-12.0646,-77.0399,2025,9,29,22,22,22,28,0
13,-12.0646,-77.039817,2025,9,29,22,23,18,1,1
14,-12.064667,-77.039533,2025,9,29,22,23,30,10,0
15,-12.06475,-77.039433,2025,9,29,22,23,36,9,0
16,-12.064867,-77.039383,2025,9,29,22,23,41,10,0
17,-12.064983,-77.039167,2025,9,29,22,23,46,19,0
18,-12.06495,-77.039067,2025,9,29,22,23,49,13,0
19,-12.064767,-77.038567,2025,9,29,22,24,17,8,0
20,-12.064767,-77.0381,2025,9,29,22,25,17,3,1
21,-12.064467,-77.036283,2025,9,29,22,26,8,14,0
22,-12.0644,-77.03625,2025,9,29,22,26,10,12,0
23,-12.064183,-77.036167,2025,9,29,22,26,16,16,0
24,-12.064133,-77.03605,2025,9,29,22,26,19,16,0
25,-12.06405,-77.035267,2025,9,29,22,27,19,5,1
26,-12.064,-77.03515,2025,9,29,22,27,48,2,1
27,-12.063867,-77.03425,2025,9,29,22,28,48,6,0
28,-12.063883,-77.034133,2025,9,29,22,29,33,1,1
29,-12.063667,-77.03235,2025,9,29,22,30,19,15,0
30,-12.063767,-77.032283,2025,9,29,22,30,21,20,0
31,-12.0649,-77.032,2025,9,29,22,31,6,11,0
32,-12.064933,-77.031817,2025,9,29,22,31,10,17,0
33,-12.064933,-77.031717,2025,9,29,22,32,10,1,1
34,-12.064867,-77.03155,2025,9,29,22,32,52,2,1
