Id,Fecha y hora,posición,Distancia (m),Tiempo de registro (s),Velocidad (km/h)
1,29/09/2025 22:17:28,S12 02.977 W77 04.449,0,0:00:00,0
2,29/09/2025 22:18:21,S12 02.966 W77 04.284,298,0:00:53,20
3,29/09/2025 22:18:23,S12 02.969 W77 04.282,8,0:00:02,14
4,29/09/2025 22:19:23,S12 03.169 W77 04.261,373,0:01:00,22
5,29/09/2025 22:20:02,S12 03.181 W77 04.260,21,0:00:39,2
6,29/09/2025 22:20:22,S12 03.283 W77 04.247,191,0:00:20,34
7,29/09/2025 22:20:25,S12 03.285 W77 04.241,12,0:00:03,15
8,29/09/2025 22:21:24,S12 03.278 W77 04.170,130,0:00:59,8
9,29/09/2025 22:22:24,S12 03.268 W77 04.073,177,0:01:00,11
10,29/09/2025 22:23:04,S12 03.260 W77 04.001,130,0:00:40,12
11,29/09/2025 22:23:07,S12 03.253 W77 03.999,15,0:00:03,18
12,29/09/2025 22:24:07,S12 03.167 W77 04.007,160,0:01:00,10
13,29/09/2025 22:24:19,S12 03.150 W77 04.009,30,0:00:12,9
14,29/09/2025 22:24:21,S12 03.149 W77 04.005,8,0:00:02,14
15,29/09/2025 22:25:21,S12 03.187 W77 03.875,246,0:01:00,15
16,29/09/2025 22:26:21,S12 03.202 W77 03.831,86,0:01:00,5
17,29/09/2025 22:26:37,S12 03.223 W77 03.769,118,0:00:16,27
18,29/09/2025 22:26:38,S12 03.222 W77 03.767,3,0:00:01,12
19,29/09/2025 22:26:40,S12 03.218 W77 03.766,7,0:00:02,12
20,29/09/2025 22:27:06,S12 03.134 W77 03.730,169,0:00:26,23
21,29/09/2025 22:27:08,S12 03.134 W77 03.727,7,0:00:02,12
22,29/09/2025 22:27:33,S12 03.159 W77 03.661,128,0:00:25,18
23,29/09/2025 22:27:35,S12 03.155 W77 03.657,11,0:00:02,20
24,29/09/2025 22:27:39,S12 03.145 W77 03.650,22,0:00:04,20
25,29/09/2025 22:27:41,S12 03.145 W77 03.646,9,0:00:02,15
26,29/09/2025 22:28:41,S12 03.201 W77 03.487,305,0:01:00,18
27,29/09/2025 22:29:13,S12 03.228 W77 03.391,182,0:00:32,20
28,29/09/2025 22:29:15,S12 03.232 W77 03.390,7,0:00:02,12
29,29/09/2025 22:29:18,S12 03.237 W77 03.394,11,0:00:03,14
30,29/09/2025 22:30:18,S12 03.299 W77 03.439,142,0:01:00,8
31,29/09/2025 22:31:18,S12 03.316 W77 03.451,37,0:01:00,2
32,29/09/2025 22:31:59,S12 03.322 W77 03.455,14,0:00:41,1
33,29/09/2025 22:32:06,S12 03.332 W77 03.458,20,0:00:07,10
34,29/09/2025 22:32:08,S12 03.336 W77 03.456,7,0:00:02,13
35,29/09/2025 22:32:10,S12 03.337 W77 03.452,8,0:00:02,15
36,29/09/2025 22:32:12,S12 03.334 W77 03.447,9,0:00:02,16
37,29/09/2025 22:33:03,S12 03.289 W77 03.415,102,0:00:51,7
38,29/09/2025 22:33:08,S12 03.282 W77 03.412,15,0:00:05,11
39,29/09/2025 22:33:12,S12 03.277 W77 03.405,14,0:00:04,13
40,29/09/2025 22:34:12,S12 03.263 W77 03.253,277,0:01:00,17
41,29/09/2025 22:35:12,S12 03.254 W77 03.129,226,0:01:00,14
42,29/09/2025 22:36:12,S12 03.245 W77 03.023,192,0:01:00,12
43,29/09/2025 22:37:12,S12 03.242 W77 02.997,48,0:01:00,3
44,29/09/2025 22:38:05,S12 03.242 W77 02.960,66,0:00:53,4
45,29/09/2025 22:38:08,S12 03.244 W77 02.959,4,0:00:03,5
46,29/09/2025 22:39:05,S12 03.300 W77 02.951,105,0:00:57,7
47,29/09/2025 22:39:42,S12 03.358 W77 02.958,108,0:00:37,11
48,29/09/2025 22:39:59,S12 03.406 W77 02.952,90,0:00:17,19
49,29/09/2025 22:40:02,S12 03.409 W77 02.948,10,0:00:03,12
50,29/09/2025 22:41:02,S12 03.403 W77 02.857,165,0:01:00,10
51,29/09/2025 22:41:06,S12 03.401 W77 02.855,5,0:00:04,4
52,29/09/2025 22:41:12,S12 03.402 W77 02.839,28,0:00:06,17
53,29/09/2025 22:41:14,S12 03.405 W77 02.836,8,0:00:02,14
54,29/09/2025 22:42:00,S12 03.498 W77 02.829,173,0:00:46,14
55,29/09/2025 22:42:10,S12 03.521 W77 02.837,45,0:00:10,16
56,29/09/2025 22:43:10,S12 03.643 W77 02.941,293,0:01:00,18
57,29/09/2025 22:44:10,S12 03.756 W77 03.034,269,0:01:00,16
58,29/09/2025 22:45:10,S12 03.848 W77 03.111,220,0:01:00,13
59,29/09/2025 22:46:10,S12 03.941 W77 03.190,225,0:01:00,13
60,29/09/2025 22:46:23,S12 03.945 W77 03.190,6,0:00:13,2
61,29/09/2025 22:46:28,S12 03.954 W77 03.182,22,0:00:05,16
62,29/09/2025 22:47:28,S12 03.983 W77 03.144,87,0:01:00,5
63,29/09/2025 22:47:34,S12 03.984 W77 03.142,3,0:00:06,2
64,29/09/2025 22:48:01,S12 04.032 W77 03.083,141,0:00:27,19
65,29/09/2025 22:48:04,S12 04.036 W77 03.077,12,0:00:03,15
66,29/09/2025 22:49:04,S12 04.090 W77 03.013,153,0:01:00,9
67,29/09/2025 22:50:04,S12 04.130 W77 02.963,117,0:01:00,7
68,29/09/2025 22:51:04,S12 04.134 W77 02.958,13,0:01:00,1
69,29/09/2025 22:51:46,S12 04.140 W77 02.952,15,0:00:42,1
70,29/09/2025 22:52:46,S12 04.188 W77 02.889,144,0:01:00,9
71,29/09/2025 22:52:56,S12 04.199 W77 02.871,38,0:00:10,14
72,29/09/2025 22:52:58,S12 04.197 W77 02.866,11,0:00:02,19
73,29/09/2025 22:53:58,S12 04.017 W77 02.719,427,0:01:00,26
74,29/09/2025 22:54:58,S12 03.922 W77 02.652,214,0:01:00,13
75,29/09/2025 22:55:04,S12 03.915 W77 02.651,13,0:00:06,8
76,29/09/2025 22:55:08,S12 03.911 W77 02.647,9,0:00:04,8
77,29/09/2025 22:56:08,S12 03.887 W77 02.494,281,0:01:00,17
78,29/09/2025 22:57:08,S12 03.875 W77 02.381,207,0:01:00,12
79,29/09/2025 22:57:17,S12 03.878 W77 02.372,17,0:00:09,7
80,29/09/2025 22:57:27,S12 03.891 W77 02.346,53,0:00:10,19
81,29/09/2025 22:58:09,S12 03.884 W77 02.293,96,0:00:42,8
82,29/09/2025 22:58:16,S12 03.881 W77 02.280,25,0:00:07,13
83,29/09/2025 22:59:16,S12 03.872 W77 02.198,149,0:01:00,9
84,29/09/2025 22:59:37,S12 03.872 W77 02.192,12,0:00:21,2
85,29/09/2025 23:00:15,S12 03.866 W77 02.180,24,0:00:38,2
86,29/09/2025 23:00:27,S12 03.846 W77 02.163,48,0:00:12,14
87,29/09/2025 23:01:27,S12 03.840 W77 02.081,150,0:01:00,9
88,29/09/2025 23:02:13,S12 03.838 W77 02.075,11,0:00:46,1
