Id,Fecha y hora,posición,Distancia (m),Tiempo de registro (s),Velocidad (km/h)
1,29/09/2025 22:19:59,S12 00.709 W76 52.620,0,0:00:00,0
2,29/09/2025 22:20:59,S12 00.790 W76 52.872,480,0:01:00,29
3,29/09/2025 22:21:59,S12 00.824 W76 52.969,187,0:01:00,11
4,29/09/2025 22:22:05,S12 00.824 W76 52.970,2,0:00:06,1
5,29/09/2025 22:23:05,S12 00.870 W76 53.106,260,0:01:00,16
6,29/09/2025 22:23:09,S12 00.872 W76 53.112,11,0:00:04,10
7,29/09/2025 22:24:09,S12 00.879 W76 53.133,41,0:01:00,2
8,29/09/2025 22:25:09,S12 00.961 W76 53.380,472,0:01:00,28
9,29/09/2025 22:26:09,S12 01.011 W76 53.529,286,0:01:00,17
10,29/09/2025 22:27:09,S12 01.177 W76 54.037,970,0:01:00,58
11,29/09/2025 22:28:09,S12 01.262 W76 54.300,502,0:01:00,30
12,29/09/2025 22:29:09,S12 01.337 W76 54.536,451,0:01:00,27
13,29/09/2025 22:30:09,S12 01.409 W76 54.755,419,0:01:00,25
14,29/09/2025 22:31:09,S12 01.450 W76 54.881,239,0:01:00,14
15,29/09/2025 22:32:09,S12 01.506 W76 55.051,326,0:01:00,20
16,29/09/2025 22:33:09,S12 01.557 W76 55.199,285,0:01:00,17
17,29/09/2025 22:34:09,S12 01.602 W76 55.278,165,0:01:00,10
18,29/09/2025 22:35:09,S12 01.632 W76 55.319,92,0:01:00,6
19,29/09/2025 22:36:09,S12 01.684 W76 55.401,178,0:01:00,11
20,29/09/2025 22:36:50,S12 01.738 W76 55.450,133,0:00:41,12
21,29/09/2025 22:37:11,S12 01.788 W76 55.492,121,0:00:21,21
22,29/09/2025 22:38:11,S12 02.086 W76 55.746,719,0:01:00,43
23,29/09/2025 22:38:14,S12 02.086 W76 55.747,1,0:00:03,1
24,29/09/2025 22:39:00,S12 02.175 W76 55.821,213,0:00:46,17
25,29/09/2025 22:40:00,S12 02.254 W76 55.894,196,0:01:00,12
26,29/09/2025 22:41:00,S12 02.320 W76 55.945,154,0:01:00,9
27,29/09/2025 22:42:00,S12 02.319 W76 55.947,2,0:01:00,0
28,29/09/2025 22:42:16,S12 02.332 W76 55.953,26,0:00:16,6
29,29/09/2025 22:43:16,S12 02.551 W76 56.144,534,0:01:00,32
30,29/09/2025 22:43:31,S12 02.581 W76 56.178,82,0:00:15,20
31,29/09/2025 22:44:31,S12 02.597 W76 56.220,82,0:01:00,5
32,29/09/2025 22:45:31,S12 02.605 W76 56.239,38,0:01:00,2
33,29/09/2025 22:46:16,S12 02.609 W76 56.250,21,0:00:45,2
34,29/09/2025 22:47:16,S12 02.647 W76 56.328,158,0:01:00,9
35,29/09/2025 22:48:16,S12 02.759 W76 56.616,561,0:01:00,34
36,29/09/2025 22:49:16,S12 02.765 W76 56.628,26,0:01:00,2
37,29/09/2025 22:50:16,S12 02.765 W76 56.628,0,0:01:00,0
38,29/09/2025 22:50:55,S12 02.770 W76 56.637,18,0:00:39,2
39,29/09/2025 22:51:50,S12 02.856 W76 56.845,410,0:00:55,27
40,29/09/2025 22:51:52,S12 02.859 W76 56.845,6,0:00:02,11
41,29/09/2025 22:51:53,S12 02.860 W76 56.843,3,0:00:01,12
42,29/09/2025 22:51:55,S12 02.860 W76 56.839,7,0:00:02,13
43,29/09/2025 22:52:55,S12 02.796 W76 56.681,310,0:01:00,19
44,29/09/2025 22:53:55,S12 02.676 W76 56.384,582,0:01:00,35
45,29/09/2025 22:54:55,S12 02.656 W76 56.324,116,0:01:00,7
46,29/09/2025 22:55:37,S12 02.654 W76 56.320,8,0:00:42,1
47,29/09/2025 22:55:45,S12 02.652 W76 56.317,6,0:00:08,3
48,29/09/2025 22:55:53,S12 02.645 W76 56.302,30,0:00:08,13
49,29/09/2025 22:56:53,S12 02.623 W76 56.247,108,0:01:00,6
50,29/09/2025 22:57:53,S12 02.442 W76 56.042,501,0:01:00,30
51,29/09/2025 22:58:53,S12 02.313 W76 55.928,315,0:01:00,19
52,29/09/2025 22:59:53,S12 02.239 W76 55.867,176,0:01:00,11
53,29/09/2025 23:00:53,S12 02.185 W76 55.822,129,0:01:00,8
54,29/09/2025 23:00:59,S12 02.181 W76 55.817,13,0:00:06,8
55,29/09/2025 23:01:59,S12 01.859 W76 55.539,781,0:01:00,47
56,29/09/2025 23:02:59,S12 01.801 W76 55.484,146,0:01:00,9
57,29/09/2025 23:03:59,S12 01.793 W76 55.478,19,0:01:00,1
58,29/09/2025 23:04:17,S12 01.790 W76 55.470,16,0:00:18,3
