Id,Latitud,Longitud,Año,Mes,Día,Hora,Minuto,Segundo,Velocidad (km/h),is_microparada
1,-12.056517,-77.045883,2025,9,29,22,20,2,0,1
2,-12.056417,-77.045167,2025,9,29,22,20,34,9,0
3,-12.056217,-77.045133,2025,9,29,22,20,42,10,0
4,-12.055033,-77.045033,2025,9,29,22,21,42,8,0
5,-12.05485,-77.045017,2025,9,29,22,21,59,4,1
6,-12.0548,-77.045033,2025,9,29,22,22,2,8,0
7,-12.054733,-77.045067,2025,9,29,22,22,8,5,1
8,-12.054717,-77.045117,2025,9,29,22,22,10,11,0
9,-12.054867,-77.047233,2025,9,29,22,23,10,14,0
10,-12.055017,-77.049017,2025,9,29,22,24,10,12,0
11,-12.05515,-77.05055,2025,9,29,22,25,10,10,0
12,-12.055167,-77.050567,2025,9,29,22,25,19,1,1
13,-12.055333,-77.052383,2025,9,29,22,26,19,12,0
14,-12.05545,-77.054083,2025,9,29,22,27,19,11,0
15,-12.055583,-77.056867,2025,9,29,22,28,19,18,0
16,-12.055567,-77.05685,2025,9,29,22,29,19,0,1
17,-12.055533,-77.057183,2025,9,29,22,30,19,2,1
18,-12.055467,-77.05735,2025,9,29,22,31,16,1,1
19,-12.054567,-77.06045,2025,9,29,22,32,16,21,0
20,-12.053917,-77.062217,2025,9,29,22,33,16,12,0
21,-12.053567,-77.063217,2025,9,29,22,34,16,7,0
22,-12.052883,-77.065233,2025,9,29,22,35,16,14,0
23,-12.05245,-77.0667,2025,9,29,22,36,16,10,0
24,-12.052517,-77.066817,2025,9,29,22,37,16,1,1
25,-12.052683,-77.066867,2025,9,29,22,37,19,23,0
26,-12.0543,-77.066767,2025,9,29,22,37,39,32,0
27,-12.054333,-77.066883,2025,9,29,22,37,41,23,0
28,-12.054517,-77.069067,2025,9,29,22,38,41,14,0
29,-12.054533,-77.069233,2025,9,29,22,39,21,2,1
30,-12.054683,-77.070733,2025,9,29,22,39,52,19,0
31,-12.054633,-77.070767,2025,9,29,22,39,54,14,0
32,-12.053433,-77.0709,2025,9,29,22,40,16,22,0
33,-12.0516,-77.071117,2025,9,29,22,41,16,12,0
34,-12.049267,-77.071383,2025,9,29,22,42,1,21,0
35,-12.0492,-77.071467,2025,9,29,22,42,4,14,0
36,-12.049417,-77.07355,2025,9,29,22,43,4,14,0
37,-12.049633,-77.076733,2025,9,29,22,44,4,21,0
38,-12.049717,-77.0773,2025,9,29,22,45,4,4,1
39,-12.049683,-77.077283,2025,9,29,22,46,4,0,1
40,-12.049683,-77.077283,2025,9,29,22,47,4,0,1
41,-12.049683,-77.077283,2025,9,29,22,48,4,0,1
42,-12.049683,-77.077283,2025,9,29,22,49,4,0,1
43,-12.049683,-77.077283,2025,9,29,22,50,4,0,1
44,-12.04975,-77.0775,2025,9,29,22,50,19,6,0
45,-12.049867,-77.077767,2025,9,29,22,50,28,12,0
46,-12.049933,-77.0778,2025,9,29,22,50,32,8,0
47,-12.049983,-77.077783,2025,9,29,22,50,35,8,0
48,-12.0501,-77.077667,2025,9,29,22,50,41,10,0
49,-12.050167,-77.07735,2025,9,29,22,51,41,2,1
50,-12.050167,-77.077333,2025,9,29,22,52,41,0,1
51,-12.050167,-77.077333,2025,9,29,22,53,41,0,1
52,-12.050117,-77.0772,2025,9,29,22,54,41,1,1
53,-12.049917,-77.07535,2025,9,29,22,55,41,12,0
54,-12.0497,-77.073267,2025,9,29,22,56,42,13,0
55,-12.049567,-77.072117,2025,9,29,22,57,43,7,0
56,-12.049517,-77.071867,2025,9,29,22,57,52,12,0
57,-12.04945,-77.071717,2025,9,29,22,57,57,13,0
58,-12.049417,-77.071383,2025,9,29,22,58,18,6,0
59,-12.04945,-77.07135,2025,9,29,22,58,20,10,0
60,-12.05205,-77.0711,2025,9,29,22,59,20,17,0
61,-12.0532,-77.071,2025,9,29,23,0,20,8,0
62,-12.0546,-77.070833,2025,9,29,23,1,20,9,0
63,-12.054717,-77.070783,2025,9,29,23,2,3,1,1
64,-12.05475,-77.0707,2025,9,29,23,2,5,20,0
65,-12.054617,-77.069433,2025,9,29,23,3,5,8,0
66,-12.054617,-77.069317,2025,9,29,23,4,4,1,1
67,-12.054333,-77.066733,2025,9,29,23,5,4,17,0
68,-12.05425,-77.066633,2025,9,29,23,5,7,16,0
69,-12.054133,-77.066633,2025,9,29,23,5,10,16,0
70,-12.05275,-77.0668,2025,9,29,23,6,10,9,0
71,-12.052517,-77.066817,2025,9,29,23,6,20,10,0
72,-12.052483,-77.066783,2025,9,29,23,6,22,12,0
73,-12.052483,-77.066433,2025,9,29,23,6,31,15,0
74,-12.053067,-77.0647,2025,9,29,23,7,31,12,0
75,-12.053233,-77.064183,2025,9,29,23,8,31,4,1
76,-12.053283,-77.064033,2025,9,29,23,8,32,59,0
77,-12.054167,-77.061767,2025,9,29,23,9,29,17,0
78,-12.054233,-77.061767,2025,9,29,23,9,31,14,0
