Id,Fecha y hora,posición,Distancia (m),Tiempo de registro (s),Velocidad (km/h)
1,29/09/2025 22:15:02,S12 01.393 W76 54.690,0,0:00:00,0
2,29/09/2025 22:16:02,S12 01.350 W76 54.556,255,0:01:00,15
3,29/09/2025 22:16:28,S12 01.345 W76 54.538,35,0:00:26,5
4,29/09/2025 22:17:28,S12 01.251 W76 54.257,538,0:01:00,32
5,29/09/2025 22:18:28,S12 01.202 W76 54.098,302,0:01:00,18
6,29/09/2025 22:19:28,S12 01.184 W76 54.038,114,0:01:00,7
7,29/09/2025 22:20:28,S12 01.078 W76 53.711,626,0:01:00,38
8,29/09/2025 22:21:28,S12 00.961 W76 53.353,685,0:01:00,41
9,29/09/2025 22:22:28,S12 00.905 W76 53.189,314,0:01:00,19
10,29/09/2025 22:23:08,S12 00.900 W76 53.167,41,0:00:40,4
11,29/09/2025 22:24:08,S12 00.883 W76 53.108,112,0:01:00,7
12,29/09/2025 22:24:28,S12 00.874 W76 53.098,25,0:00:20,5
13,29/09/2025 22:25:28,S12 00.805 W76 52.892,394,0:01:00,24
14,29/09/2025 22:26:28,S12 00.734 W76 52.682,403,0:01:00,24
15,29/09/2025 22:27:28,S12 00.707 W76 52.599,158,0:01:00,9
16,29/09/2025 22:28:28,S12 00.614 W76 52.255,647,0:01:00,39
17,29/09/2025 22:29:28,S12 00.572 W76 52.024,425,0:01:00,26
18,29/09/2025 22:30:28,S12 00.544 W76 51.864,296,0:01:00,18
19,29/09/2025 22:30:52,S12 00.537 W76 51.831,61,0:00:24,9
20,29/09/2025 22:31:52,S12 00.476 W76 51.498,614,0:01:00,37
21,29/09/2025 22:32:52,S12 00.427 W76 51.226,501,0:01:00,30
22,29/09/2025 22:33:52,S12 00.422 W76 51.192,62,0:01:00,4
23,29/09/2025 22:34:52,S12 00.380 W76 50.971,408,0:01:00,25
24,29/09/2025 22:35:52,S12 00.324 W76 50.746,421,0:01:00,25
25,29/09/2025 22:36:52,S12 00.309 W76 50.715,62,0:01:00,4
26,29/09/2025 22:37:52,S12 00.296 W76 50.690,51,0:01:00,3
27,29/09/2025 22:38:19,S12 00.289 W76 50.678,25,0:00:27,3
28,29/09/2025 22:38:23,S12 00.288 W76 50.672,11,0:00:04,10
29,29/09/2025 22:38:25,S12 00.291 W76 50.669,8,0:00:02,14
30,29/09/2025 22:39:18,S12 00.503 W76 50.523,473,0:00:53,32
31,29/09/2025 22:39:58,S12 00.499 W76 50.352,311,0:00:40,28
32,29/09/2025 22:40:58,S12 00.575 W76 50.228,265,0:01:00,16
33,29/09/2025 22:41:58,S12 00.662 W76 50.047,365,0:01:00,22
34,29/09/2025 22:42:03,S12 00.660 W76 50.028,35,0:00:05,25
35,29/09/2025 22:42:29,S12 00.554 W76 49.917,281,0:00:26,39
36,29/09/2025 22:42:54,S12 00.531 W76 49.897,58,0:00:25,8
37,29/09/2025 22:42:57,S12 00.533 W76 49.892,10,0:00:03,12
38,29/09/2025 22:43:56,S12 00.648 W76 49.726,368,0:00:59,22
39,29/09/2025 22:44:56,S12 00.768 W76 49.559,377,0:01:00,23
40,29/09/2025 22:45:56,S12 00.778 W76 49.541,37,0:01:00,2
41,29/09/2025 22:46:56,S12 00.778 W76 49.541,0,0:01:00,0
42,29/09/2025 22:47:56,S12 00.793 W76 49.516,53,0:01:00,3
43,29/09/2025 22:48:39,S12 00.795 W76 49.509,12,0:00:43,1
44,29/09/2025 22:49:39,S12 00.905 W76 49.356,345,0:01:00,21
45,29/09/2025 22:50:24,S12 00.958 W76 49.260,199,0:00:45,16
46,29/09/2025 22:50:53,S12 00.941 W76 49.181,147,0:00:29,18
47,29/09/2025 22:51:05,S12 00.926 W76 49.134,89,0:00:12,27
48,29/09/2025 22:51:07,S12 00.928 W76 49.129,11,0:00:02,20
49,29/09/2025 22:51:34,S12 00.990 W76 49.080,145,0:00:27,19
50,29/09/2025 22:51:48,S12 01.008 W76 49.030,97,0:00:14,25
51,29/09/2025 22:51:51,S12 01.005 W76 49.028,6,0:00:03,7
52,29/09/2025 22:51:59,S12 00.995 W76 49.026,20,0:00:08,9
53,29/09/2025 22:52:01,S12 00.994 W76 49.027,3,0:00:02,5
54,29/09/2025 22:52:03,S12 00.994 W76 49.029,3,0:00:02,6
55,29/09/2025 22:53:03,S12 00.998 W76 49.032,8,0:01:00,1
56,29/09/2025 22:54:03,S12 00.998 W76 49.032,0,0:01:00,0
57,29/09/2025 22:55:03,S12 00.998 W76 49.032,0,0:01:00,0
58,29/09/2025 22:56:03,S12 00.998 W76 49.032,0,0:01:00,0
59,29/09/2025 22:57:03,S12 00.998 W76 49.032,0,0:01:00,0
60,29/09/2025 22:57:29,S12 00.967 W76 49.101,138,0:00:26,19
61,29/09/2025 22:58:29,S12 00.765 W76 49.200,416,0:01:00,25
62,29/09/2025 22:59:27,S12 00.604 W76 49.298,347,0:00:58,22
63,29/09/2025 23:00:27,S12 00.543 W76 49.384,193,0:01:00,12
64,29/09/2025 23:01:27,S12 00.475 W76 49.511,262,0:01:00,16
65,29/09/2025 23:02:27,S12 00.377 W76 49.768,500,0:01:00,30
66,29/09/2025 23:03:08,S12 00.348 W76 49.805,85,0:00:41,8
67,29/09/2025 23:03:21,S12 00.313 W76 49.827,76,0:00:13,21
68,29/09/2025 23:03:46,S12 00.251 W76 49.897,172,0:00:25,25
69,29/09/2025 23:04:46,S12 00.029 W76 49.994,447,0:01:00,27
70,29/09/2025 23:05:16,S11 59.938 W76 50.028,178,0:00:30,21
71,29/09/2025 23:05:18,S11 59.937 W76 50.025,6,0:00:02,11
72,29/09/2025 23:05:47,S11 59.938 W76 50.023,5,0:00:29,1
73,29/09/2025 23:06:17,S12 00.021 W76 49.989,164,0:00:30,20
74,29/09/2025 23:06:19,S12 00.021 W76 49.986,7,0:00:02,13
75,29/09/2025 23:06:57,S11 59.974 W76 49.878,214,0:00:38,20
76,29/09/2025 23:07:57,S11 59.972 W76 49.872,11,0:01:00,1
77,29/09/2025 23:08:57,S11 59.972 W76 49.872,0,0:01:00,0
78,29/09/2025 23:09:44,S11 59.972 W76 49.872,0,0:00:47,0
79,29/09/2025 23:09:45,S11 59.975 W76 49.869,9,0:00:01,31
80,29/09/2025 23:09:49,S11 59.972 W76 49.870,7,0:00:04,7
81,29/09/2025 23:12:59,S11 59.972 W76 49.870,0,0:03:10,0
82,29/09/2025 23:16:09,S11 59.972 W76 49.870,0,0:03:10,0
83,29/09/2025 23:19:19,S11 59.972 W76 49.870,0,0:03:10,0
