Id,Fecha y hora,posición,Distancia (m),Tiempo de registro (s),Velocidad (km/h)
1,29/09/2025 22:15:14,S12 04.069 W77 03.038,0,0:00:00,0
2,29/09/2025 22:16:14,S12 04.134 W77 02.957,191,0:01:00,11
3,29/09/2025 22:16:44,S12 04.137 W77 02.956,5,0:00:30,1
4,29/09/2025 22:17:44,S12 04.184 W77 02.897,138,0:01:00,8
5,29/09/2025 22:18:14,S12 04.199 W77 02.869,58,0:00:30,7
6,29/09/2025 22:18:17,S12 04.196 W77 02.863,13,0:00:03,15
7,29/09/2025 22:19:17,S12 04.095 W77 02.783,236,0:01:00,14
8,29/09/2025 22:20:17,S12 04.084 W77 02.772,29,0:01:00,2
9,29/09/2025 22:20:58,S12 03.933 W77 02.655,351,0:00:41,31
10,29/09/2025 22:21:19,S12 03.913 W77 02.654,37,0:00:21,6
11,29/09/2025 22:21:22,S12 03.910 W77 02.648,11,0:00:03,14
12,29/09/2025 22:22:22,S12 03.876 W77 02.394,465,0:01:00,28
13,29/09/2025 22:23:18,S12 03.876 W77 02.389,9,0:00:56,1
14,29/09/2025 22:23:30,S12 03.880 W77 02.372,33,0:00:12,10
15,29/09/2025 22:23:36,S12 03.885 W77 02.366,15,0:00:06,9
16,29/09/2025 22:23:41,S12 03.892 W77 02.363,14,0:00:05,10
17,29/09/2025 22:23:46,S12 03.899 W77 02.350,26,0:00:05,19
18,29/09/2025 22:23:49,S12 03.897 W77 02.344,11,0:00:03,13
19,29/09/2025 22:24:17,S12 03.886 W77 02.314,59,0:00:28,8
20,29/09/2025 22:25:17,S12 03.886 W77 02.286,50,0:01:00,3
21,29/09/2025 22:26:08,S12 03.868 W77 02.177,202,0:00:51,14
22,29/09/2025 22:26:10,S12 03.864 W77 02.175,7,0:00:02,12
23,29/09/2025 22:26:16,S12 03.851 W77 02.170,26,0:00:06,16
24,29/09/2025 22:26:19,S12 03.848 W77 02.163,14,0:00:03,16
25,29/09/2025 22:27:19,S12 03.843 W77 02.116,86,0:01:00,5
26,29/09/2025 22:27:48,S12 03.840 W77 02.109,14,0:00:29,2
27,29/09/2025 22:28:48,S12 03.832 W77 02.055,99,0:01:00,6
28,29/09/2025 22:29:33,S12 03.833 W77 02.048,13,0:00:45,1
29,29/09/2025 22:30:19,S12 03.820 W77 01.941,196,0:00:46,15
30,29/09/2025 22:30:21,S12 03.826 W77 01.937,11,0:00:02,20
31,29/09/2025 22:31:06,S12 03.894 W77 01.920,132,0:00:45,11
32,29/09/2025 22:31:10,S12 03.896 W77 01.909,19,0:00:04,17
33,29/09/2025 22:32:10,S12 03.896 W77 01.903,11,0:01:00,1
34,29/09/2025 22:32:52,S12 03.892 W77 01.893,19,0:00:42,2
35,29/09/2025 22:33:52,S12 03.878 W77 01.770,224,0:01:00,13
36,29/09/2025 22:34:52,S12 03.879 W77 01.770,2,0:01:00,0
37,29/09/2025 22:35:48,S12 03.877 W77 01.764,11,0:00:56,1
38,29/09/2025 22:36:47,S12 03.865 W77 01.668,177,0:00:59,11
39,29/09/2025 22:37:47,S12 03.866 W77 01.667,2,0:01:00,0
40,29/09/2025 22:38:08,S12 03.862 W77 01.657,21,0:00:21,4
41,29/09/2025 22:39:07,S12 03.847 W77 01.560,178,0:00:59,11
